"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
1,0,2.767,2.767,5.134,5.134,11.6,11.6,12.434,32.7,32.834,367.134,367.6,1439.7,1445.734
2,31.8,32.7,30.567,31.8,12.434,30.567,115.8,116.334,36.434,36.867,519.4,522,5968.4,5971
3,32.834,36.434,82.5,83.167,83.167,85.6,123.867,124.267,36.9,36.934,607.667,607.867,5971.033,5971.2
4,36.867,36.9,85.6,86.1,90.467,90.634,124.467,124.8,38.2,38.3,921.634,925.867,5971.233,5971.667
5,36.934,38.2,86.767,90.467,98.834,115.8,125.634,125.767,40.534,40.634,1203.834,1205.167,5971.733,5979.467
6,38.3,40.534,90.634,98.834,116.334,123.867,125.8,125.867,41.034,41.334,1317.3,1321.534,13304.2,13305.5
7,40.634,41.034,155.567,156.367,124.267,124.467,128.567,128.9,44.334,46.2,1331.6,1331.8,13305.9,13306.566
8,41.334,44.334,222.034,222.7,124.8,125.634,133.934,135.567,46.334,46.5,1424.3,1425.567,14562.666,14562.699
9,46.2,46.334,238.534,243.434,125.767,125.8,136.134,136.167,50.267,50.3,1509.134,1513.267,15258.332,15258.466
10,46.5,50.267,250.534,251.134,125.867,128.567,137.234,138.134,55.867,56.3,1605.967,1610.8,15465.032,15465.066
11,50.3,55.867,295.967,296.667,128.9,133.934,235.867,235.9,58.534,58.7,1611.8,1612.467,16116.966,16117.032
12,56.3,58.534,324.134,324.734,135.567,136.134,299.934,299.967,58.767,62.3,1963.8,1967.2,16575.266,16575.499
13,58.7,58.767,354.4,360.867,136.167,137.234,300,300.667,62.4,62.567,2025.3,2028.367,19649.432,19649.565
14,62.3,62.4,361.334,361.667,138.134,155.567,329.267,329.467,72.634,72.767,2262.834,2267.567,20412.832,20412.865
15,62.567,72.634,419.067,420.867,222.7,235.867,330.4,341.867,165.1,165.267,2709.8,2710.2,NA,NA
16,72.767,82.5,456.267,457.067,235.9,238.534,342.134,346.067,166.3,166.434,2778.367,2781.834,NA,NA
17,86.1,86.767,496.367,497.5,243.434,250.534,346.134,346.267,166.567,167.8,3021.233,3023.7,NA,NA
18,156.367,165.1,685.4,685.934,296.667,299.934,422.067,427.734,168.534,168.567,3154.3,3157.2,NA,NA
19,165.267,166.3,711,712.2,299.967,300,429.8,430.067,169.067,169.167,3194.567,3199.667,NA,NA
20,166.434,166.567,742.367,743.6,300.667,324.134,430.134,430.2,185.2,185.267,3224.733,3226.467,NA,NA
21,167.8,168.534,748.867,749.3,324.734,329.267,430.267,430.8,185.634,185.8,3265.333,3268.4,NA,NA
22,168.567,169.067,756.834,757.234,329.467,330.4,455.6,455.934,187.867,188.534,3611.767,3614.567,NA,NA
23,169.167,185.2,772.2,772.567,341.867,342.134,743.967,746.167,188.6,188.834,3643.6,3647.567,NA,NA
24,185.267,185.634,851.767,852.367,346.067,346.134,746.267,746.367,188.9,189.034,3928.4,3928.667,NA,NA
25,185.8,187.867,916.1,918.9,346.267,354.4,770.2,770.3,189.534,189.6,3992.9,3997.533,NA,NA
26,188.534,188.6,1082.967,1083.5,420.867,422.067,852.567,893.434,189.634,189.867,4219.633,4224.333,NA,NA
27,188.834,188.9,1089.967,1107.6,427.734,429.8,895,896.967,189.9,189.934,4338.2,4338.633,NA,NA
28,189.034,189.534,1122.567,1122.834,430.067,430.134,897.1,907.034,190.134,190.2,4579.5,4581.6,NA,NA
29,189.6,189.634,1125.867,1126.667,430.2,430.267,910.867,911.8,190.467,190.5,4641.367,4661.4,NA,NA
30,189.867,189.9,1127.834,1129.4,430.8,455.6,1089.267,1089.767,191,200.767,4663.433,4664.6,NA,NA
31,189.934,190.134,1198.234,1200.3,455.934,456.267,1201.334,1201.4,202.334,202.6,4874.7,4875.133,NA,NA
