"X1","Right_start","Right_stop","Unknown_start","Unknown_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop"
1,0,8.233,8.233,8.333,8.333,9.366,9.366,15.066,15.066,15.233,80.766,80.833
2,86.2,87.333,279.033,283.733,41.1,41.966,15.233,15.266,15.266,15.3,81.233,86.2
3,87.366,87.633,483.6,485.2,57.933,60.333,15.3,16.266,16.266,16.566,87.333,87.366
4,87.7,87.966,579.333,581.633,77.6,80.766,16.566,16.966,16.966,17.033,87.633,87.7
5,88.033,88.166,625.8,630.633,80.833,81.233,17.033,17.933,17.933,27.833,87.966,88.033
6,88.866,88.933,830.766,834.533,97.7,98.366,27.833,27.933,27.933,27.966,88.166,88.866
7,95.6,97.7,917.133,920.733,111.4,112.9,27.966,28.166,28.166,28.2,88.933,95.6
8,112.9,120,994.6,996.4,203.366,204.066,28.2,28.3,28.3,29.766,120,120.033
9,120.033,120.066,1554.6,1565.1,211.133,211.9,29.766,29.9,29.9,33.833,120.066,120.1
10,120.1,120.433,1570.8,1575.2,228.033,228.533,33.833,34.066,34.066,39.533,120.433,132.966
11,132.966,133.433,1784.8,1786.766,239.533,240.766,39.533,41.1,43.5,43.666,133.433,133.6
12,133.6,134,2142,2143.1,244.766,245.2,41.966,43.5,43.7,43.933,134,134.066
13,134.066,134.466,2216.166,2236.6,276.8,277.3,43.666,43.7,44.233,47.066,134.466,134.5
14,134.5,135.233,2636.566,2641.633,316.5,317.033,43.933,44.233,47.8,49.833,135.233,135.366
15,135.366,145.666,2646.033,2649.866,325.433,330.366,47.066,47.8,49.866,55.6,145.666,146.033
16,146.033,146.066,2650.4,2654.166,349.4,349.966,49.833,49.866,60.866,68.333,146.066,146.1
17,146.1,146.166,3193.6,3195.433,363.533,364.2,55.6,57.933,68.4,68.466,146.166,147.2
18,147.2,147.233,4558.533,4563.399,373.266,378.933,60.333,60.866,68.5,69.766,147.233,147.266
19,147.266,147.566,4750.799,4768.266,383.266,385.5,68.333,68.4,71.766,71.8,147.566,148.433
20,148.433,148.533,4959.233,4960.233,465.266,466,68.466,68.5,75.933,76.4,148.533,148.6
21,148.6,148.666,12703.032,12707.799,485.266,487.6,69.766,71.766,102.666,102.733,148.666,148.733
22,148.733,149.866,12711.099,12715.799,515.466,516.066,71.8,75.933,102.8,102.833,149.866,151.233
23,151.233,152.433,12718.132,12724.699,518.266,522.2,76.4,77.6,103.033,110.033,152.433,152.566
24,152.566,153.066,12809.632,12813.832,525.533,526.633,98.366,102.666,110.166,110.233,153.066,153.333
25,153.333,156.5,12866.832,12869.299,593.9,594.666,102.733,102.8,110.333,110.366,156.5,156.633
26,156.633,156.7,12880.266,12880.899,608.8,608.9,102.833,103.033,234.866,237.233,156.7,156.8
