"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
1,0,5.833,5.833,7.9,7.9,7.966,153.366,160.333,342.966,343.6,512.266,514.666
2,147.8,153.366,7.966,8.066,8.066,8.166,343.6,343.633,343.633,343.666,640.333,644.766
3,160.333,238.166,8.166,8.233,8.233,12.633,343.666,343.733,343.733,344.133,735.166,739.1
4,241.4,241.6,12.633,21.066,21.066,21.8,344.133,344.2,344.2,344.233,741.7,752.433
5,241.733,241.866,21.8,23.633,23.633,23.8,344.233,344.266,344.266,344.366,758.766,767.933
6,244.4,247.7,23.8,24.1,24.1,28.066,344.366,344.466,344.466,345.066,769.266,770.933
7,247.833,247.866,28.066,28.366,28.366,28.4,345.066,345.1,345.1,347.033,775.333,779.4
8,248.033,248.066,28.4,29.033,29.033,29.533,347.033,347.066,347.066,348.133,1793.733,1794.6
9,336.566,342.966,29.533,30.7,30.7,35.566,348.133,348.3,348.3,348.4,1794.666,1800.8
10,408.8,412.2,35.566,36.8,36.8,36.866,348.4,348.466,348.466,349.666,5078.666,5080.399
11,434.7,435.933,36.866,37,37,39.233,349.666,350.533,350.533,350.566,5117.466,5119.366
12,437.333,437.366,39.233,39.6,39.6,39.633,350.566,350.666,350.666,351.6,11852.899,11862.599
13,437.4,437.633,39.633,39.666,39.666,39.833,351.6,354.233,354.233,354.733,12051.432,12052.632
14,437.666,437.7,39.833,39.866,39.866,40.066,354.733,354.833,354.833,354.966,12182.666,12188.032
15,438.033,438.166,40.066,42.133,42.133,43.8,354.966,355.033,355.033,355.066,12462.066,12463.232
16,438.333,438.566,43.8,44.5,44.5,46,355.066,355.133,355.133,355.633,13226.799,13232.966
17,445.4,459.033,46,46.333,46.333,46.433,355.633,355.666,355.666,355.833,14381.465,14386.265
18,593.9,604.433,46.433,46.5,46.5,46.833,355.833,356.133,356.133,357.133,15411.098,15415.032
19,604.6,604.766,46.833,46.966,46.966,47.233,357.133,357.166,357.166,357.866,15419.032,15422.165
20,655.5,667.933,47.233,72.6,72.6,80.233,357.866,358.133,358.133,358.666,15931.198,15937.365
21,985.066,1001.6,80.233,91.8,91.8,97.7,358.666,358.766,358.766,360.2,21349.365,21360.931
22,1168.2,1178.666,97.7,120.133,120.133,120.2,360.2,360.233,360.233,363.366,21600,21600
23,1222.7,1254.033,120.2,120.233,120.233,120.366,363.366,363.433,363.433,365.066,21600,21600
24,1429.2,1474.2,120.366,120.733,120.733,122.7,365.066,366.966,366.966,375.033,21600,21600
25,1521.9,1587.7,122.7,123.533,123.533,124.6,375.033,375.233,375.233,375.766,21600,21600
