"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop"
1,0,2.166666667,2.166666667,2.2,12.56666667,13.23333333,26.36666667,28.13333333,28.13333333,28.8
2,2.2,2.9,2.9,2.933333333,16.7,16.93333333,28.8,32.96666667,32.96666667,38.2
3,2.933333333,2.966666667,2.966666667,3,17.6,22.1,38.2,40.96666667,79.6,83.8
4,3,3.033333333,3.033333333,3.066666667,105.5333333,105.7666667,45,48.2,84.96666667,88.03333333
5,3.066666667,3.333333333,3.333333333,8.3,108.3,108.4,53.3,75.2,126.4333333,127.4666667
6,8.3,9.5,9.5,12.56666667,110.3,118.1666667,77.96666667,79.6,128.1333333,128.2333333
7,24.43333333,26.36666667,13.23333333,16.7,121.8666667,121.9666667,83.8,84.96666667,128.4333333,131.3
8,40.96666667,45,16.93333333,17.6,140.2666667,141.3333333,88.03333333,99.2,214.1666667,214.5333333
9,48.2,53.3,22.1,24.43333333,142.1333333,142.4333333,125.2,126.4333333,214.6,214.6333333
10,75.2,77.96666667,103,105.3666667,145.6,157.7333333,127.4666667,128.1333333,214.6666667,214.7
11,99.2,103,105.7666667,106.5333333,160.1,160.3,128.2333333,128.4333333,214.7333333,214.8333333
12,105.3666667,105.5333333,118.1666667,121.8666667,160.3666667,160.5333333,131.3,136.5666667,214.9,215.0333333
13,106.5333333,108.3,121.9666667,124.4333333,163.5666667,164.2333333,143.1,144.8,215.4,217.4333333
14,108.4,110.3,141.3333333,142.1333333,164.5,164.5666667,217.9666667,219.2666667,217.8,217.8333333
15,124.4333333,125.2,157.7333333,160.1,186.8666667,188.7,219.9333333,221.0333333,221.0333333,221.0666667
16,136.5666667,140.2666667,160.3,160.3666667,193.8666667,194.0666667,221.0666667,230.9,230.9,231.2666667
17,142.4333333,143.1,160.5333333,163.5666667,198.0666667,198.1,231.2666667,231.3333333,231.3333333,231.4666667
18,144.8,145.6,164.2333333,164.5,198.2,198.3,231.4666667,231.5333333,231.5333333,233.0333333
19,164.5666667,165.1,165.1,166.8666667,204.0333333,205.7,233.0333333,233.1,366.6,366.6333333
20,166.8666667,166.9333333,166.9333333,186.8666667,207.2333333,207.7666667,355.5666667,366.6,366.6666667,366.8333333
21,212.8666667,214.1666667,188.7,193.8666667,208.1333333,208.9666667,366.6333333,366.6666667,366.8666667,367.1666667
22,214.5333333,214.6,194.0666667,198.0666667,212.5666667,212.8666667,366.8333333,366.8666667,367.2333333,367.3333333
23,214.6333333,214.6666667,198.1,198.2,233.8333333,235.0333333,367.1666667,367.2333333,368.7,370.5
24,214.7,214.7333333,198.3,204.0333333,238.7,241.3333333,367.3333333,368.7,370.6333333,370.6666667
25,214.8333333,214.9,205.7,207.2333333,241.4666667,241.5666667,370.5,370.6333333,370.7,370.9666667
26,215.0333333,215.4,207.7666667,208.1333333,354.2333333,354.9666667,370.6666667,370.7,373.6333333,376.5333333
27,217.4333333,217.8,208.9666667,212.5666667,387.3333333,396.5666667,370.9666667,373.6333333,378.1666667,380.1
28,217.8333333,217.9666667,235.0333333,238.7,397.0666667,403.9,376.5333333,378.1666667,381.8333333,383.9
29,219.2666667,219.9333333,241.3333333,241.4666667,439.5,442.7,380.1,381.8333333,418.2333333,420.6333333
30,233.1,233.8333333,241.5666667,354.2333333,448.8333333,451.6,383.9,386.6666667,435.1666667,435.3333333
31,354.9666667,355.5666667,396.5666667,397.0666667,451.8666667,451.9,404.4,418.2333333,435.4333333,436.3666667
32,386.6666667,387.3333333,442.7,448.8333333,467.2333333,468.2333333,420.6333333,435.1666667,436.4666667,437.2333333
33,403.9,404.4,451.6,451.8666667,485.4333333,487.3666667,435.3333333,435.4333333,482.8,482.9333333
34,439,439.5,451.9,467.2333333,488.6333333,524.8333333,436.3666667,436.4666667,482.9666667,483.2333333
35,468.2333333,468.9333333,487.3666667,488.6333333,529.5333333,535.2666667,437.2333333,439,631.6333333,631.9333333
36,478.0333333,481.3666667,524.8333333,529.5333333,547.0666667,547.4,468.9333333,478.0333333,800.7333333,800.8333333
37,483.6333333,485.4333333,535.2666667,547.0666667,547.7666667,547.9333333,481.3666667,482.8,835.4666667,835.5333333
38,598.8666667,599.4333333,547.4,547.7666667,547.9666667,548,482.9333333,482.9666667,836.8,837.2666667
39,603.7666667,604.2333333,547.9333333,547.9666667,548.0666667,548.1666667,483.2333333,483.6333333,847.6,847.6666667
40,607.4,609.8666667,548,548.0666667,548.3666667,548.5666667,599.4333333,603.7666667,848.0666667,848.1333333
41,613.4333333,613.9666667,548.1666667,548.3666667,572.9,575.9666667,613.9666667,617.7666667,848.1666667,850.5666667
