"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Contact_Unknown_start","Contact_Unknown_stop"
1,0,0.2,0.2,0.434,8.967,11.434,132.867,137.8,172.667,173.034,212.367,212.534,21600,21600,21600,21600
2,0.434,0.467,0.467,0.5,12,12.867,344.234,348.067,173.4,200.267,214.367,214.467,NA,NA,NA,NA
3,0.5,0.567,0.567,0.634,72.8,74.234,349.867,354.867,201.634,212.367,215.3,215.834,NA,NA,NA,NA
4,0.634,0.667,0.667,0.767,125.167,126.934,364.1,374.1,212.534,214.367,216.334,218.6,NA,NA,NA,NA
5,0.767,0.867,0.867,0.934,166.367,166.8,380.5,383.367,214.467,215.3,218.934,219.367,NA,NA,NA,NA
6,0.934,0.967,0.967,1.067,170.067,172.667,414.367,417.6,215.834,216.334,219.4,219.634,NA,NA,NA,NA
7,1.067,3.534,3.534,3.567,173.034,173.4,638.734,639.234,218.6,218.934,219.767,219.8,NA,NA,NA,NA
8,3.567,3.867,3.867,8.967,200.267,201.634,1249.534,1253.767,219.367,219.4,220.034,220.234,NA,NA,NA,NA
9,11.434,12,12.867,13.167,262,267.034,1292.267,1293.767,219.634,219.767,220.367,220.467,NA,NA,NA,NA
10,13.167,14.034,14.034,14.267,282.1,282.834,1326.534,1333.134,219.8,220.034,220.534,220.7,NA,NA,NA,NA
11,14.267,14.367,14.367,14.967,315.767,317.367,1662.934,1667.2,220.234,220.367,221,221.234,NA,NA,NA,NA
12,14.967,16.067,16.067,16.8,323.767,324.967,1727.9,1729.434,220.467,220.534,222,222.034,NA,NA,NA,NA
13,16.8,16.867,16.867,18.9,342.6,343.6,1827.034,1830.6,220.7,221,222.134,222.234,NA,NA,NA,NA
14,18.9,19.4,19.4,20.067,348.234,349.7,3030.7,3032.5,221.234,222,222.334,223.434,NA,NA,NA,NA
15,20.067,21.834,21.834,22.034,384.134,385.567,3045.6,3046.734,222.034,222.134,228.434,228.567,NA,NA,NA,NA
16,22.034,22.334,22.334,22.7,392.734,394.1,6233.1,6234.466,222.234,222.334,230.034,230.134,NA,NA,NA,NA
17,22.7,22.9,22.9,23,397.7,398.534,6491.833,6501.8,223.434,228.434,230.6,230.7,NA,NA,NA,NA
18,23,23.367,23.367,23.434,410.734,412.7,6933.633,6933.666,228.567,230.034,230.767,237.1,NA,NA,NA,NA
19,23.434,27.267,27.267,37.9,417.767,420.934,12657.132,12661.799,230.134,230.6,239.7,240.034,NA,NA,NA,NA
20,37.9,38.5,38.5,38.534,494.234,495.134,12675.832,12694.866,230.7,230.767,240.134,240.167,NA,NA,NA,NA
21,38.534,39.5,39.5,39.534,508.234,511.534,12694.966,12699.566,237.1,239.7,240.567,240.667,NA,NA,NA,NA
22,39.534,39.834,39.834,43.267,517.767,519.267,12799.032,12799.766,240.034,240.134,240.9,241.2,NA,NA,NA,NA
23,43.267,43.3,43.3,45.8,587.467,588.267,12881.932,12886.732,240.167,240.567,268.134,268.634,NA,NA,NA,NA
24,45.8,49.4,49.4,49.434,612.634,616.034,13249.966,13250.966,240.667,240.9,268.667,270.967,NA,NA,NA,NA
25,49.434,49.567,49.567,49.934,618.567,630.834,14228.199,14230.999,241.2,262,271.667,274.834,NA,NA,NA,NA
26,49.934,49.967,49.967,50,631.067,635.3,14840.466,14851.132,267.034,268.134,300.367,300.4,NA,NA,NA,NA
27,50,50.034,50.034,50.1,639.234,641.3,15025.732,15027.932,270.967,271.667,300.434,300.467,NA,NA,NA,NA
28,50.1,50.3,50.3,52.1,648.434,659.334,15315.666,15318.399,274.834,282.1,300.534,300.567,NA,NA,NA,NA
29,52.1,52.167,52.167,52.267,662.7,674.167,15437.799,15441.466,282.834,300.367,300.8,300.834,NA,NA,NA,NA
30,52.267,52.434,52.434,53,692.4,694.434,16165.766,16167.232,300.4,300.434,301.034,301.067,NA,NA,NA,NA
31,53,57,57,57.234,700,700.234,16595.966,16596.232,300.467,300.534,469.067,469.1,NA,NA,NA,NA
32,57.234,62.667,62.667,63.667,701.734,703.334,19110.165,19111.132,300.567,300.8,470.1,470.134,NA,NA,NA,NA
33,63.667,64.034,64.034,64.7,709.334,709.967,21600,21600,300.834,301.034,470.267,470.3,NA,NA,NA,NA
34,64.7,66.1,66.1,66.134,725.234,729.067,21600,21600,301.067,315.767,470.867,470.934,NA,NA,NA,NA
35,66.134,67.867,67.867,69.534,732.6,733.634,21600,21600,385.567,392.734,471.567,471.634,NA,NA,NA,NA
36,69.534,69.7,69.7,69.834,749,751.367,21600,21600,412.7,414.367,471.9,471.934,NA,NA,NA,NA
37,69.834,70.567,70.567,72.467,752.067,752.767,21600,21600,417.6,417.767,471.967,474.2,NA,NA,NA,NA
38,72.467,72.534,72.534,72.8,753.734,753.867,21600,21600,420.934,469.067,476.567,476.6,NA,NA,NA,NA
39,114,115.334,74.234,114,753.934,760.734,21600,21600,469.1,470.1,476.734,478.734,NA,NA,NA,NA
40,115.767,118.434,115.334,115.767,761.034,761.334,NA,NA,470.134,470.267,478.8,479.1,NA,NA,NA,NA
41,120.067,121.167,118.434,120.067,762.667,764.034,NA,NA,470.3,470.867,479.667,480.6,NA,NA,NA,NA
42,121.8,121.967,121.167,121.8,766.967,768.234,NA,NA,470.934,471.567,480.7,480.734,NA,NA,NA,NA
43,122.134,122.2,121.967,122.134,789.334,791.634,NA,NA,471.634,471.9,480.767,481.6,NA,NA,NA,NA
44,122.534,122.567,122.2,122.534,792.034,792.967,NA,NA,471.934,471.967,481.734,481.767,NA,NA,NA,NA
45,122.6,122.767,122.567,122.6,793,794.7,NA,NA,474.2,476.567,481.8,481.934,NA,NA,NA,NA
46,123.2,123.434,122.767,123.2,801.667,807.134,NA,NA,476.6,476.734,482.034,482.1,NA,NA,NA,NA
47,124.3,125.034,123.434,124.3,864.8,873.434,NA,NA,478.734,478.8,482.234,483.034,NA,NA,NA,NA
48,128.034,128.067,125.034,125.167,995.067,997.934,NA,NA,479.1,479.667,483.367,483.4,NA,NA,NA,NA
49,130.2,130.3,126.934,128.034,1089.7,1162.934,NA,NA,480.6,480.7,1031.034,1031.3,NA,NA,NA,NA
50,131.334,132.534,128.067,130.2,1179.134,1191.467,NA,NA,480.734,480.767,1031.334,1031.434,NA,NA,NA,NA
51,137.8,138.134,130.3,131.334,1275.534,1276.967,NA,NA,481.6,481.734,1031.467,1031.767,NA,NA,NA,NA
52,139.534,139.834,132.534,132.867,1295.4,1296.534,NA,NA,481.767,481.8,1032.634,1032.734,NA,NA,NA,NA
53,141.234,141.267,138.134,139.534,1417.267,1454.434,NA,NA,481.934,482.034,1032.9,1033.034,NA,NA,NA,NA
54,141.534,141.834,139.834,141.234,1477.867,1478.7,NA,NA,482.1,482.234,1033.1,1033.234,NA,NA,NA,NA
55,152.467,152.534,141.267,141.534,1516.334,1517.834,NA,NA,483.034,483.367,1033.834,1034.1,NA,NA,NA,NA
56,154.4,154.467,141.834,152.467,1524.334,1530.1,NA,NA,483.4,494.234,1034.5,1034.667,NA,NA,NA,NA
57,156.334,156.434,152.534,154.4,1531.867,1563.334,NA,NA,511.534,517.767,1034.734,1034.767,NA,NA,NA,NA
58,157.534,158.367,154.467,156.334,1618.5,1628.534,NA,NA,588.267,612.634,1034.867,1035.767,NA,NA,NA,NA
59,158.467,158.534,156.434,157.534,1655.267,1656.134,NA,NA,616.034,618.567,1036.2,1036.234,NA,NA,NA,NA
60,161.9,162.1,158.367,158.467,1656.934,1657.267,NA,NA,709.967,725.234,1036.267,1037.6,NA,NA,NA,NA
61,162.167,162.234,158.534,161.9,1657.3,1657.334,NA,NA,729.067,732.6,1037.8,1039.134,NA,NA,NA,NA
62,268.634,268.667,162.1,162.167,1657.567,1659.3,NA,NA,733.634,749,1039.567,1039.767,NA,NA,NA,NA
63,318.467,319.567,162.234,166.367,1722.9,1727.034,NA,NA,751.367,752.067,1040.167,1040.6,NA,NA,NA,NA
64,319.667,320.234,166.8,170.067,1729.434,1731.767,NA,NA,752.767,753.734,1041.034,1041.3,NA,NA,NA,NA
65,320.267,320.334,317.367,318.467,1746.667,1746.834,NA,NA,753.867,753.934,1041.367,1051.467,NA,NA,NA,NA
66,320.767,320.834,319.567,319.667,1775.434,1776.3,NA,NA,760.734,761.034,1051.734,1051.834,NA,NA,NA,NA
67,320.934,321.1,320.234,320.267,1790.067,1819.134,NA,NA,761.334,762.667,1282.5,1291.134,NA,NA,NA,NA
68,323.134,323.267,320.334,320.767,1844.934,1851.134,NA,NA,764.034,766.967,1292.134,1292.2,NA,NA,NA,NA
69,340,340.067,320.834,320.934,1880.567,1978.5,NA,NA,791.634,792.034,1859.067,1860.667,NA,NA,NA,NA
70,344.1,344.167,321.1,323.134,1981.8,1982.567,NA,NA,792.967,793,1860.8,1865.234,NA,NA,NA,NA
71,354.867,361.767,323.267,323.767,2005.1,2008.967,NA,NA,997.934,1031.034,1867.434,1867.667,NA,NA,NA,NA
72,408.1,408.167,324.967,340,2033.1,2035.6,NA,NA,1031.3,1031.334,1867.7,1867.767,NA,NA,NA,NA
73,408.8,408.934,340.067,342.6,2053.8,2057.6,NA,NA,1031.434,1031.467,1867.8,1868.4,NA,NA,NA,NA
74,502.2,504.4,343.6,344.1,2061.9,2081.3,NA,NA,1031.767,1032.634,1868.734,1868.8,NA,NA,NA,NA
75,522.5,523.1,344.167,344.234,2118.1,2118.867,NA,NA,1032.734,1032.9,1868.867,1871.167,NA,NA,NA,NA
76,523.167,523.5,348.067,348.234,2160.3,2202.967,NA,NA,1033.034,1033.1,2600.7,2601.134,NA,NA,NA,NA
77,523.867,524.067,349.7,349.867,2215.734,2218.834,NA,NA,1033.234,1033.834,2626.034,2626.134,NA,NA,NA,NA
78,524.1,524.2,361.767,364.1,2218.867,2218.9,NA,NA,1034.1,1034.5,2639.4,2639.467,NA,NA,NA,NA
79,528.7,529,374.1,380.5,2234.2,2236.634,NA,NA,1034.667,1034.734,2640.6,2641.767,NA,NA,NA,NA
80,529.067,531.634,383.367,384.134,2253.767,2253.834,NA,NA,1034.767,1034.867,2641.867,2643.134,NA,NA,NA,NA
81,531.667,532.034,394.1,397.7,2253.967,2255.067,NA,NA,1035.767,1036.2,2643.2,2643.3,NA,NA,NA,NA
82,532.367,532.467,398.534,408.1,2255.567,2255.734,NA,NA,1036.234,1036.267,2950.667,2950.7,NA,NA,NA,NA
83,532.5,533.6,408.167,408.8,2275.567,2277.067,NA,NA,1037.6,1037.8,3258.6,3259.267,NA,NA,NA,NA
84,541.734,541.9,408.934,410.734,2289.034,2305.967,NA,NA,1039.134,1039.567,3259.8,3259.834,NA,NA,NA,NA
85,541.934,542.167,495.134,502.2,2306.034,2306.067,NA,NA,1039.767,1040.167,3259.967,3260.2,NA,NA,NA,NA
86,542.5,543.034,504.4,508.234,2306.1,2306.167,NA,NA,1040.6,1041.034,3260.534,3261.567,NA,NA,NA,NA
87,543.434,543.8,519.267,522.5,2317.267,2318.167,NA,NA,1041.3,1041.367,3262.667,3263.9,NA,NA,NA,NA
88,544.067,544.167,523.1,523.167,2377.7,2487.534,NA,NA,1051.467,1051.734,3269,3269.834,NA,NA,NA,NA
89,544.2,544.334,523.5,523.867,2506.9,2540.1,NA,NA,1051.834,1089.7,3270.6,3271.134,NA,NA,NA,NA
90,545.034,547.034,524.067,524.1,2540.2,2540.3,NA,NA,1276.967,1282.5,3271.367,3271.867,NA,NA,NA,NA
91,547.134,548.5,524.2,528.7,2540.367,2544.5,NA,NA,1291.134,1292.134,3274.1,3274.234,NA,NA,NA,NA
92,548.967,551.2,529,529.067,2569.934,2592.9,NA,NA,1292.2,1292.267,3274.434,3277.834,NA,NA,NA,NA
93,551.3,551.334,531.634,531.667,2592.934,2595.1,NA,NA,1293.767,1295.4,3279.3,3279.867,NA,NA,NA,NA
94,551.467,551.567,532.034,532.367,2607.634,2610.4,NA,NA,1296.534,1326.534,3280.2,3290.1,NA,NA,NA,NA
95,551.667,553.634,532.467,532.5,2620.767,2621.734,NA,NA,1333.134,1417.267,3295.567,3298.367,NA,NA,NA,NA
96,554.9,555.034,533.6,541.734,2626.7,2629.167,NA,NA,1478.7,1516.334,3299.3,3299.634,NA,NA,NA,NA
97,555.1,555.367,541.9,541.934,2629.2,2629.934,NA,NA,1517.834,1524.334,3299.7,3300.167,NA,NA,NA,NA
