"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,21.934,21.934,42.4,44.234,50.8,88.7,88.867,275.267,283.234,10027.066,10027.132,13985.432,13985.865
2,42.4,44.234,51.7,55.934,80.634,86.5,89.167,107.4,283.434,283.8,NA,NA,NA,NA
3,50.8,51.7,58.267,79.867,87.1,88.7,107.5,107.534,283.934,285.434,NA,NA,NA,NA
4,55.934,58.267,270.534,275.267,88.867,89.167,107.567,129.167,285.567,289.467,NA,NA,NA,NA
5,79.867,80.634,283.234,283.434,107.4,107.5,129.734,133.8,292.967,296.367,NA,NA,NA,NA
6,86.5,87.1,283.8,283.934,107.534,107.567,134.034,134.967,297.867,298.1,NA,NA,NA,NA
7,268.234,270.534,285.434,285.567,129.167,129.734,135.2,135.467,302.034,302.967,NA,NA,NA,NA
8,330.467,332.567,289.467,292.967,133.8,134.034,135.867,136.667,303.067,304.634,NA,NA,NA,NA
9,355.767,359.567,296.367,297.867,134.967,135.2,137.034,138.3,322.834,326.034,NA,NA,NA,NA
10,359.634,359.8,298.1,302.034,135.467,135.867,138.5,138.767,326.167,326.434,NA,NA,NA,NA
11,359.834,359.867,302.967,303.067,136.667,137.034,145.8,145.867,327.1,327.367,NA,NA,NA,NA
12,359.9,360,304.634,322.834,138.3,138.5,147.934,160.334,359.567,359.634,NA,NA,NA,NA
13,361.034,361.167,326.034,326.167,138.767,145.8,160.467,164.767,359.8,359.834,NA,NA,NA,NA
14,362.867,363,326.434,327.1,145.867,147.934,164.8,171.9,359.867,359.9,NA,NA,NA,NA
15,410.4,412.534,327.367,330.467,160.334,160.467,171.934,172.934,360,361.034,NA,NA,NA,NA
16,442.7,494.834,362.834,362.867,164.767,164.8,173.067,173.3,361.167,362.834,NA,NA,NA,NA
17,515.134,516.267,363.567,363.734,171.9,171.934,173.734,173.867,363,363.567,NA,NA,NA,NA
18,516.5,538.3,364,381.3,172.934,173.067,173.9,173.934,363.734,364,NA,NA,NA,NA
19,627.967,642.467,382.867,390,173.3,173.734,174.4,177.934,381.3,382.867,NA,NA,NA,NA
