"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
1,0,4.066,4.066,4.966,4.966,6.766,15.066,16.033,16.033,17.266,40.4,40.6,539.033,539.5
2,9.633,10.533,6.766,9.633,14.3,15.066,17.266,19.966,19.966,20.133,214.533,215.2,10212.199,10212.499
3,10.633,11.466,10.533,10.633,40.6,42.066,20.133,20.166,20.166,21.833,240.4,251.366,12156.498,12160.331
4,11.566,11.833,11.466,11.566,54.5,55.266,21.833,22,22,22.233,403.633,406.566,NA,NA
5,11.866,12.033,11.833,11.866,66.866,71.433,22.233,22.466,22.466,36.566,409.433,410.733,NA,NA
6,12.166,12.2,12.033,12.166,71.533,71.6,36.566,40.4,71.433,71.533,412.366,413.566,NA,NA
7,12.666,12.7,12.2,12.666,71.7,71.966,71.966,72.066,71.6,71.7,537.333,539.033,NA,NA
8,12.733,13.466,12.7,12.733,102.633,107.266,74.366,74.7,72.066,74.366,596.3,600.866,NA,NA
9,45.966,51.166,13.466,14.3,115.833,125.7,82.1,82.433,74.7,82.1,607.233,609.733,NA,NA
10,51.2,51.5,42.066,45.966,148.733,157.3,84.133,87.8,82.433,84.133,756.4,756.733,NA,NA
11,51.566,51.833,51.166,51.2,210.266,213.5,88.5,102.633,87.8,88.5,869.5,871.533,NA,NA
12,62.5,64.933,51.5,51.566,213.533,213.7,125.7,126.4,126.4,126.466,881.866,882.333,NA,NA
13,65.066,66.866,51.833,54.5,213.933,214.533,126.466,126.5,126.5,126.7,936.7,938.9,NA,NA
14,110.133,111.1,55.266,62.5,223.7,224.466,126.7,126.833,126.833,129.033,944.566,945.633,NA,NA
15,111.233,111.3,64.933,65.066,254.6,279.1,129.033,129.233,129.233,129.3,970.3,970.4,NA,NA
16,111.4,111.433,107.266,110.133,304.2,309,129.3,136.4,136.4,137.733,983.9,986.666,NA,NA
17,111.5,112.266,111.1,111.233,312.733,314.433,137.733,137.766,137.766,145,1009.633,1010.133,NA,NA
18,112.366,114.7,111.3,111.4,314.566,314.7,145,147.333,147.333,147.466,1019.6,1021.766,NA,NA
19,114.766,115.833,111.433,111.5,314.766,369.833,147.466,147.5,147.5,147.566,1055.7,1061.1,NA,NA
20,213.5,213.533,112.266,112.366,369.9,370.166,147.566,147.833,147.833,148.733,1116.066,1118.733,NA,NA
21,213.7,213.933,114.7,114.766,377.8,397.266,157.3,167.233,167.233,190.8,1166.766,1171.1,NA,NA
22,215.2,222.3,222.3,222.466,403.033,403.633,190.8,192.5,192.5,192.866,1173.3,1176.466,NA,NA
23,222.466,223.666,223.666,223.7,406.566,409.4,192.866,193.5,193.5,194.033,1225.933,1228.166,NA,NA
24,311.233,311.566,309,311.233,426.766,441.933,194.033,194.066,194.066,194.233,1249.133,1253.9,NA,NA
25,311.766,311.933,311.566,311.766,442.066,442.1,194.233,194.266,194.266,195.166,1345.466,1348.766,NA,NA
26,312.033,312.1,311.933,312.033,442.133,442.166,195.166,195.833,195.833,200.866,1359.833,1363.266,NA,NA
27,312.2,312.733,312.1,312.2,442.5,442.833,200.866,201.766,201.766,206.466,1371.633,1376.7,NA,NA
28,314.433,314.566,409.4,409.433,442.9,444.433,206.466,207.066,207.066,210.266,1387.733,1390.966,NA,NA
29,314.7,314.766,412.1,412.366,446.166,453.9,224.466,225.2,225.2,226.733,1394.966,1399.033,NA,NA
30,410.733,412.1,413.566,416.966,461.5,462.3,226.733,226.866,226.866,227.366,1402.633,1406,NA,NA
31,416.966,417.066,417.066,417.166,467.966,483.966,227.366,229.6,229.6,235.033,1647.033,1647.2,NA,NA
32,417.166,417.366,417.366,421.6,484,484.033,235.033,240.4,251.366,254.133,1689.9,1691.633,NA,NA
33,421.6,424.1,424.1,424.366,484.066,487.166,254.133,254.6,279.233,283.133,1698.7,1699.433,NA,NA
34,424.366,426.766,444.433,444.533,487.266,494.766,279.1,279.233,302.366,302.4,1793.233,1798.066,NA,NA
35,441.933,442.066,445.533,445.566,495.466,495.766,283.133,302.366,302.533,303.533,2027.4,2037.133,NA,NA
36,442.1,442.133,446,446.166,495.9,496.166,302.4,302.533,303.6,303.9,2068.5,2070.1,NA,NA
37,442.166,442.5,453.9,454.4,496.2,496.433,303.533,303.6,303.966,304.066,2075.833,2079.9,NA,NA
38,442.833,442.9,454.7,461.5,497.9,500.733,303.9,303.966,370.166,372.433,2129.7,2132.633,NA,NA
39,444.533,445.533,494.766,494.933,500.8,500.9,304.066,304.2,397.6,397.766,2206.4,2206.533,NA,NA
40,445.566,446,496.433,496.633,502.366,503.266,369.833,369.9,398,403.033,2229.766,2239.666,NA,NA
41,454.4,454.7,503.266,506.366,506.366,506.466,372.433,377.8,464.133,467.966,2255.233,2257.733,NA,NA
42,483.966,484,506.466,506.766,507.533,510.766,397.266,397.6,1046.3,1048.466,2296.966,2298.133,NA,NA
43,484.033,484.066,510.766,511.966,525.333,528.2,397.766,398,1139.733,1139.766,2405.966,2410.133,NA,NA
44,487.166,487.266,519.533,523.733,556.766,596.3,462.3,464.133,1139.9,1139.933,2491.433,2493.066,NA,NA
45,494.933,495.466,523.866,523.933,600.866,607,1042,1046.3,1140,1140.7,2647.5,2647.566,NA,NA
46,495.766,495.9,525.2,525.333,616.466,627.766,1048.466,1050.833,1140.766,1141.4,2723.4,2724.833,NA,NA
47,496.166,496.2,528.2,528.466,628.066,628.733,1139.766,1139.9,1142.166,1143,2747.3,2752.3,NA,NA
48,496.633,497.9,528.733,529.166,631,731.2,1139.933,1139.966,1143.1,1144.5,2788.9,2791.8,NA,NA
49,500.733,500.8,529.2,529.233,746.866,752.6,1140.7,1140.766,1204.533,1208.2,2808.833,2809.533,NA,NA
50,500.9,502.366,529.266,529.3,756.733,760.266,1141.4,1142.166,1211.433,1211.533,2831.833,2834.633,NA,NA
51,506.766,507.533,539.5,542.3,763.033,765.9,1143,1143.1,1211.566,1218.266,2867.5,2870.833,NA,NA
52,511.966,519.533,542.333,546.433,766.233,766.366,1144.5,1144.866,1229.633,1244.133,2911.533,2911.666,NA,NA
53,523.733,523.866,547.566,547.6,766.933,767.233,1201.4,1204.533,1253.9,1274.3,3146,3148.033,NA,NA
54,523.933,525.2,548.6,548.933,767.666,767.833,1211.1,1211.433,1365.8,1365.933,3256.1,3257.266,NA,NA
55,528.466,528.733,549.566,549.633,768.066,772.1,1211.533,1211.566,1367.233,1368.166,3283.533,3287.4,NA,NA
56,529.166,529.2,555.366,555.4,775.533,778.566,1218.266,1221.3,1377.433,1380.8,3325.2,3326.6,NA,NA
57,529.233,529.266,555.966,556.766,779.433,779.7,1221.4,1221.5,1381.666,1386.866,3513.6,3513.633,NA,NA
58,529.3,537.333,607,607.233,786.866,789.666,1221.566,1221.7,1386.933,1386.966,3567.533,3591.133,NA,NA
59,542.3,542.333,609.733,613.366,791.466,792.633,1222.033,1222.133,1406,1413.166,3691.966,3693.333,NA,NA
60,546.433,547.566,615.2,616.466,799.166,803.633,1229.333,1229.633,1452.8,1458.5,3866.133,3876.4,NA,NA
61,547.6,548.6,731.2,731.5,813.366,816.933,1244.133,1249.133,1458.633,1466.033,3877.966,3878.133,NA,NA
62,548.933,549.566,732.066,736.7,822.4,824.633,1366.166,1366.4,1647.2,1647.266,3878.233,3879.6,NA,NA
63,549.633,555.366,742.9,743.333,843.433,843.6,1366.466,1367.233,1647.3,1648,3879.666,3884.766,NA,NA
64,555.4,555.966,752.6,752.666,843.7,848.2,1368.166,1368.433,1648.466,1648.533,3904.4,3910.066,NA,NA
65,613.366,615.2,760.266,760.7,859.9,869.166,1369.933,1371.633,1648.733,1650.9,3913.9,3926.966,NA,NA
66,627.766,628.066,766.766,766.833,872.066,879.533,1376.7,1377.433,1650.966,1653.733,3940.2,3942.566,NA,NA
67,628.733,631,766.9,766.933,934.233,936.7,1381.333,1381.666,2182.833,2182.9,3946.433,3950.533,NA,NA
68,731.5,732.066,767.4,767.433,940.7,944.533,1386.866,1386.933,2183.333,2183.566,3963.766,3983.933,NA,NA
69,736.7,742.9,768,768.033,962.833,970.3,1386.966,1387.733,2184.3,2190.1,4018.066,4021,NA,NA
70,743.333,746.866,773,773.1,971.433,973.6,1390.966,1394.966,2190.3,2191.1,4057,4061.833,NA,NA
71,752.666,756.4,778.566,778.633,976,981.066,1399.033,1402.633,2191.133,2195.033,4064.433,4067.166,NA,NA
72,760.7,763.033,779.1,779.166,1010.8,1010.833,1452.4,1452.8,2195.1,2195.3,4102.233,4105.966,NA,NA
73,765.9,766.233,779.3,779.433,1010.9,1013.166,1458.5,1458.633,2195.8,2197.1,4112.5,4115.133,NA,NA
74,766.366,766.766,779.7,780.3,1021.766,1042,1487.333,1496.433,2197.233,2197.366,4127.666,4128.666,NA,NA
75,766.833,766.9,780.5,780.533,1050.833,1055.066,1528.133,1531.133,2197.433,2197.466,4131.033,4144.866,NA,NA
76,767.233,767.4,780.6,780.7,1066.033,1072.9,1646.466,1646.933,2197.566,2197.6,4158.4,4164.733,NA,NA
77,767.433,767.666,781.033,784.566,1076.1,1080.766,1648,1648.466,2197.733,2197.9,4169.733,4174.866,NA,NA
78,767.833,768,789.666,789.833,1136.866,1139.733,1648.533,1648.733,2197.933,2201.633,4179.233,4192.933,NA,NA
79,768.033,768.066,791.4,791.466,1139.966,1140,1650.9,1650.966,2201.933,2202.266,4207.533,4210.733,NA,NA
80,772.1,773,792.633,797.5,1144.866,1145.633,1653.733,1653.866,2207.633,2207.7,4215,4217.8,NA,NA
81,773.1,775.533,798,799.166,1200.333,1201.4,1868.133,1869.733,2208.866,2211.8,4236.933,4242.766,NA,NA
82,778.633,779.1,803.633,809.633,1208.2,1211.1,2159.566,2182.833,2373.633,2373.966,4243.266,4244.766,NA,NA
83,779.166,779.3,810.833,810.866,1221.3,1221.4,2182.9,2183.333,2485.466,2486,4293.566,4299.766,NA,NA
84,780.3,780.5,812.166,812.2,1221.5,1221.566,2183.566,2184.3,2486.1,2486.233,4304.566,4314.133,NA,NA
85,780.533,780.6,816.933,819.333,1221.7,1222.033,2190.1,2190.3,2486.366,2486.733,4367.233,4367.666,NA,NA
86,780.7,781.033,824.633,825.5,1222.133,1225.933,2191.1,2191.133,2648.566,2651.8,4373.8,4376.6,NA,NA
87,784.566,786.866,826.4,826.466,1228.166,1229.333,2195.033,2195.1,2652.2,2653.166,4451.8,4463.066,NA,NA
88,789.833,791.4,827.533,833.9,1274.3,1280.966,2195.3,2195.333,2653.266,2653.3,4540.933,4568.9,NA,NA
89,797.5,798,843.266,843.433,1363.833,1365.8,2195.633,2195.8,2677.2,2677.9,4582.366,4597.3,NA,NA
90,809.633,810.833,848.2,854.633,1365.933,1366.166,2197.2,2197.233,2678,2678.033,4645.333,4645.566,NA,NA
91,810.866,812.166,857.333,857.433,1366.4,1366.466,2197.366,2197.433,2678.166,2678.733,4719.4,4720.433,NA,NA
