"X1","Center_start","Center_stop","Left_start","Left_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop"
1,0,2.067,2.067,2.233,2.233,2.3,16.6,19.733,19.733,20.3,41.367,44.533
2,2.3,10.5,12.967,13.067,10.5,11.1,20.3,20.333,20.333,20.367,51.533,52.1
3,11.1,11.533,40.667,41.367,11.533,11.767,20.367,20.567,22.333,22.467,53.8,54.033
4,11.767,12.967,44.533,44.933,22.767,22.833,23.467,23.7,22.533,22.7,54.433,54.5
5,13.067,16.6,49,51.533,261.167,264.733,30.533,33.267,22.833,23.467,54.567,54.833
6,20.567,22.333,52.1,52.167,312.567,313.5,34.967,36.3,23.7,30.533,55.133,55.3
7,22.467,22.533,55.833,56.2,431.367,435.933,37.9,38.867,33.267,34.967,56.2,57.2
8,22.7,22.767,57.2,57.433,811.367,814.833,46.933,47.8,36.3,37.9,62.9,62.933
9,38.867,40.667,69.7,70.167,1079.767,1084,104.167,106.2,106.2,106.467,70.167,70.267
10,44.933,46.933,70.267,70.5,1179.567,1180.867,106.467,106.5,106.5,106.567,95.4,95.567
11,47.8,49,76.567,95.4,1231.433,1241.333,106.567,107.433,107.433,110.1,95.7,95.733
12,52.167,53.8,95.567,95.7,1549.267,1556.3,110.1,111.033,111.033,111.067,100.4,100.533
13,54.033,54.433,95.733,100.4,1665.867,1670.6,111.067,111.1,111.1,111.833,131.733,131.767
14,54.5,54.567,100.533,102.8,2118.667,2129.2,111.833,111.967,111.967,113.033,132.5,132.533
15,54.833,55.133,117.1,125.667,2390.833,2391.067,113.033,113.467,113.467,113.567,132.667,133.167
16,55.3,55.833,131.533,131.733,2879.6,2882.433,113.567,114,114,114.567,148.433,148.967
17,57.433,62.9,131.767,132.5,2887.667,2892.733,114.567,114.667,114.667,114.933,149.667,149.733
18,62.933,69.7,132.533,132.667,2950.733,2951.367,114.933,115.133,115.133,115.467,149.867,151.033
19,70.5,76.567,133.167,133.5,3719.933,3720.267,115.467,116.4,127.833,128.067,151.133,151.233
20,102.8,104.167,136.767,136.967,4028.567,4031.133,161.1,161.3,128.1,128.433,151.3,151.633
21,116.4,117.1,147.867,148.433,4126.533,4127,161.433,162.4,161.3,161.433,152.8,152.833
22,125.667,127.833,148.967,149.667,4402.733,4407.467,163.033,163.467,162.4,163.033,152.9,153.367
23,128.067,128.1,149.733,149.867,4753.933,4756.667,163.7,163.767,163.467,163.7,187.233,188.033
24,128.433,131.533,151.033,151.133,5593.267,5597.733,165.133,165.5,163.767,165.133,190.833,191.367
25,133.5,136.767,151.233,151.3,5627.867,5630.533,167.167,168.6,165.5,167.167,200.067,200.2
26,136.967,147.867,151.633,152.8,5725.367,5729.4,168.767,170.533,168.6,168.767,200.433,200.867
27,153.8,157.1,152.833,152.9,6698.567,6702.7,171.433,171.467,170.533,171.433,203.233,205.733
28,159.7,161.1,153.367,153.8,8052.933,8054.399,171.5,175.433,171.467,171.5,206.033,206.367
29,182.933,183.667,157.1,159.7,8123.266,8124.633,175.5,177.867,175.433,175.5,206.433,206.6
30,191.567,191.967,183.667,187.233,8257.333,8260.166,178.633,179.233,177.867,178.633,206.667,207.433
31,194.267,194.9,188.033,190.833,8772.533,8773.633,179.467,179.9,179.233,179.467,215.233,215.367
32,211.067,215.1,191.367,191.567,9731.166,9732.399,180.733,180.8,179.9,180.733,215.567,215.733
33,222.8,230.033,194.9,200.067,11084.232,11084.265,180.867,181,180.8,180.867,215.767,217.033
34,232.733,238.7,200.2,200.433,11332.532,11336.999,181.2,182.933,181,181.2,231.1,231.2
35,291.9,293.033,200.867,203.233,13690.165,13690.599,191.967,194.267,239.567,243.733,296.6,300.333
36,306.733,307.533,205.733,206.033,14296.799,14300.132,238.7,239.567,243.767,243.933,300.733,300.967
37,313.833,314.467,206.367,206.433,14717.865,14719.398,243.733,243.767,243.967,244,301.333,302.333
38,346.567,348.133,206.6,206.667,14755.165,14756.898,243.933,243.967,244.067,244.833,302.4,303.867
39,480.6,482.833,207.433,211.067,14767.698,14772.465,244,244.067,249.267,249.467,304.033,306.533
40,600.1,600.8,215.1,215.233,14814.765,14818.298,244.833,249.267,249.733,250.8,316.467,319.6
41,625.167,625.633,215.367,215.567,15652.598,15656.165,249.467,249.733,251.8,252.5,319.7,320
42,628.4,628.867,215.733,215.767,16873.631,16877.831,250.8,251.8,253.1,261.067,320.367,320.8
43,640.333,640.667,217.033,222.8,17079.165,17081.065,252.5,253.1,271.033,271.367,341.667,342.6
44,648.833,665.167,230.033,231.1,17114.831,17128.631,261.067,261.167,275,275.233,343.133,343.267
45,673.067,673.367,231.2,232.733,17595.365,17604.498,264.733,271.033,275.267,275.333,344.4,346.033
46,713.6,714.3,293.033,296.6,17612.998,17620.431,271.367,275,275.633,276.1,346.267,346.333
47,728.3,728.5,300.333,300.733,18672.331,18673.797,275.233,275.267,277.267,277.833,346.367,346.4
48,753.267,798.8,300.967,301.333,19452.397,19453.731,275.333,275.633,285.067,285.333,349.8,350.933
49,808.467,808.8,302.333,302.4,19719.631,19729.297,276.1,277.267,285.633,285.667,351.033,351.233
50,835.167,837.267,303.867,304.033,19795.297,19797.631,277.833,285.067,287.967,288.7,358.733,359.6
