"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,0.666,0.666,6.333,6.333,6.733,26.466,27.133,27.133,29.133,10159.432,10162.332
2,15.066,24.4,6.733,6.8,6.8,8.466,29.133,29.533,29.533,31.8,10808.631,10821.398
3,25.2,26.466,8.466,8.666,8.666,9.2,31.8,34.2,34.2,34.466,11631.565,11638.065
4,55.433,57.533,9.2,9.266,9.266,10.2,34.466,34.966,34.966,35.933,11641.465,11642.365
5,65.266,71.933,10.2,10.4,10.4,13.533,35.933,55.433,57.8,58.6,11651.898,11662.531
6,76,80.633,13.533,13.866,13.866,13.933,57.533,57.8,59.2,59.333,11663.031,11675.298
7,83.7,86.633,13.933,15.066,86.633,86.866,58.6,59.2,59.9,60.133,11691.531,11697.365
8,86.866,87.5,24.4,25.2,87.5,87.8,59.333,59.9,61.4,61.533,11697.565,11698.165
9,87.8,89.266,151.5,152.033,93.566,93.6,60.133,61.4,61.6,63.433,11698.565,11698.965
10,90.933,93.566,155.366,155.4,93.766,93.9,61.533,61.6,72.3,73.466,11699.965,11709.598
11,93.6,93.766,163.833,169.566,94.2,94.266,63.433,65.266,73.733,74.433,11880.698,11920.331
12,93.9,94.2,169.7,170.633,95.333,95.533,71.933,72.3,111,111.333,11939.298,11952.231
13,94.266,95.333,173.133,175.533,96,96.066,73.466,73.733,113.6,114.033,11989.831,11990.098
14,95.533,96,175.566,175.866,96.1,96.8,74.433,76,118.066,138.233,12012.565,12021.765
15,96.066,96.1,175.9,176.066,104.333,104.466,80.633,83.7,139.266,140.033,12082.831,12083.131
16,96.8,97.9,184.4,184.466,152.033,155.366,89.266,90.933,144.7,145.1,12083.231,12083.665
17,100.133,104.333,268,281.133,155.4,155.566,97.9,100.133,145.7,145.933,12090.865,12107.231
18,104.466,111,284.9,285,157.833,157.866,116.633,117.166,159.533,159.9,12434.831,12458.131
19,111.333,113.6,285.5,285.533,158,158.066,117.433,118.066,185.8,186.033,12458.198,12461.365
20,114.033,116.633,286.666,286.766,169.566,169.7,138.233,139.266,214.833,217.533,12461.431,12464.131
21,117.166,117.433,289.733,289.866,175.533,175.566,140.033,144.7,217.766,217.8,12467.331,12469.431
22,148.233,151.5,299.733,301.766,175.866,175.9,145.1,145.7,251.533,254.3,12501.431,12503.265
23,155.566,157.833,303.533,304.133,176.066,184.4,145.933,148.233,254.5,257.033,12519.031,12519.565
24,157.866,158,304.866,304.933,184.466,184.733,158.966,159.533,257.266,261.3,12529.198,12532.365
25,158.066,158.966,309,309.166,191,191.966,159.9,162.433,377.033,377.3,12536.898,12541.031
26,162.433,163.833,310.066,311.133,192.033,192.066,185.433,185.8,379.566,380.1,12562.465,12571.698
27,170.633,173.133,311.366,311.866,281.133,284.9,186.033,187.466,380.533,380.633,12571.965,12580.665
