"X1","X1_1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
1,1,0,6.976,107.972,108.723,74.724,76.722,80.724,96.22,6.977,74.723,2963.864,2977.264
2,2,76.723,80.723,109.974,111.473,116.974,117.223,105.471,107.971,76.722,76.723,NA,NA
3,3,96.221,105.47,111.722,112.223,118.974,119.223,108.724,109.974,116.724,116.973,NA,NA
4,4,115.474,116.723,112.473,115.223,133.224,133.472,111.474,111.721,117.224,118.973,NA,NA
5,5,141.221,142.723,144.222,144.223,137.223,137.224,112.224,112.472,119.224,133.223,NA,NA
6,6,146.224,146.723,145.224,145.471,200.972,200.973,115.224,115.473,133.473,137.223,NA,NA
7,7,150.224,151.723,157.72,157.721,202.972,203.223,142.724,144.222,137.224,141.22,NA,NA
8,8,152.474,154.473,158.722,159.721,216.224,219.47,144.223,145.223,146.724,150.223,NA,NA
9,9,168.224,173.223,160.724,160.972,251.722,252.722,145.472,146.223,151.724,152.473,NA,NA
10,10,174.471,178.723,161.724,163.472,252.974,255.221,154.474,157.72,173.224,174.47,NA,NA
11,11,184.474,186.723,165.224,165.47,255.473,255.721,157.721,158.721,186.724,200.972,NA,NA
12,12,220.474,226.223,179.722,179.723,269.474,270.222,159.722,160.723,200.973,202.971,NA,NA
13,13,240.722,243.723,183.224,184.223,271.724,273.473,160.973,161.723,203.224,216.223,NA,NA
14,14,294.726,295.725,227.474,227.722,293.225,293.722,163.473,165.223,219.471,220.473,NA,NA
15,15,337.226,338.725,231.722,232.223,657.723,659.723,165.471,168.223,243.724,251.721,NA,NA
16,16,343.474,345.72,325.976,326.475,659.971,675.723,178.724,179.722,252.723,252.973,NA,NA
17,17,377.474,379.723,328.226,329.225,677.321,682.322,179.723,183.223,255.222,255.472,NA,NA
18,18,561.474,565.471,335.226,335.722,682.822,696.573,184.224,184.473,255.722,269.473,NA,NA
19,19,571.474,593.473,339.726,340.725,697.24,699.489,226.224,227.473,270.223,271.723,NA,NA
20,20,595.474,599.972,385.223,385.224,700.241,702.237,227.723,231.721,273.474,293.224,NA,NA
21,21,627.224,628.723,407.471,415.973,702.741,703.238,232.224,240.721,293.723,294.725,NA,NA
22,22,630.472,631.723,432.221,432.222,703.988,706.74,295.726,325.975,345.721,377.473,NA,NA
23,23,632.471,632.973,474.724,475.473,707.241,707.74,326.476,328.225,565.472,571.473,NA,NA
24,24,736.524,742.023,545.221,545.471,708.239,710.24,329.226,335.225,593.474,595.473,NA,NA
25,25,864.072,878.572,610.974,611.473,717.741,720.24,335.723,337.225,628.724,630.471,NA,NA
26,26,897.822,919.073,612.472,612.72,1010.857,1012.106,338.726,339.725,631.724,632.47,NA,NA
27,27,959.324,963.82,613.724,614.223,1040.107,1043.604,340.726,343.473,632.974,657.722,NA,NA
