"File.name","Left","Right","Sex"
"X210225_Lane1_append","WT","Oxtr-/-","2M1F"
"X210225_Lane2_append","WT","WT","2M1F"
"X210225_Lane3_append","Oxtr-/-","WT","2M1F"
"X210225_Lane4_append","WT","WT","2M1F"
"X210226_Lane1_append","Oxtr-/-","WT","2M1F"
"X210226_Lane2_append","WT","WT","2M1F"
"X210226_Lane3_append","WT","Oxtr+/-","2M1F"
"X210226_Lane4_append","Oxtr-/-","WT","2M1F"
"X210318_Lane1_append","WT","WT","2M1F"
"X210318_Lane2_append","WT","Oxtr-/-","2M1F"
"X210318_Lane4_append","WT","Oxtr-/-","2M1F"
"X210401_Lane1_append","WT","WT","2M1F"
"X210401_Lane2_append","Oxtr-/-","WT","2M1F"
"X210401_Lane4_append","Oxtr-/-","WT","2M1F"
"X210824_Lane2_append","WT","WT","2M1F"
"X210824_Lane3_append","WT","WT","2M1F"
"X210824_Lane4_append","WT","WT","2M1F"
