"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
1,0,3.634,3.634,3.734,13.234,14.967,36.034,41.134,41.134,41.167,598.067,598.8,19649.432,19649.565
2,3.734,7.534,7.534,7.9,15.467,19,41.167,41.234,41.234,41.434,617,621.467,NA,NA
3,7.9,8.167,8.167,8.3,19.034,19.167,41.434,41.867,41.867,42.5,663.934,666,NA,NA
4,8.3,12.567,12.567,13.234,34.6,36.034,42.5,42.567,42.567,43,672.8,678.134,NA,NA
5,15.067,15.1,14.967,15.067,80.634,82.967,43,43.067,43.067,43.934,797.134,802.5,NA,NA
6,15.167,15.267,15.1,15.167,183.067,184.434,43.934,43.967,43.967,44.134,841.8,844.4,NA,NA
7,19,19.034,15.267,15.467,198.434,200.134,44.134,44.2,44.2,44.267,1012.167,1013.467,NA,NA
8,19.167,26.3,26.3,27.034,251.334,253.567,44.267,44.3,44.3,44.567,1922.834,1924.934,NA,NA
9,27.034,27.9,27.9,28.167,275.334,282.6,44.567,44.6,44.6,45.467,2729.334,2731.634,NA,NA
10,28.167,34.467,34.467,34.6,287.7,295.2,45.467,45.8,45.8,45.967,6203.366,6205.833,NA,NA
11,87.334,87.4,82.967,87.334,310.867,311.634,45.967,47.4,47.4,47.5,6775.733,6780.233,NA,NA
12,87.434,87.5,87.4,87.434,381.334,382.267,47.5,47.534,47.534,52.067,7955.866,7964.366,NA,NA
13,87.567,87.6,87.5,87.567,481.334,487.467,52.067,52.934,52.934,53.967,8531.266,8532.166,NA,NA
14,88.234,88.6,87.6,88.234,550.2,551,53.967,54.8,54.8,55.167,8978.733,8983.166,NA,NA
15,88.734,92.867,88.6,88.734,579.2,593.267,55.167,55.567,55.567,57.7,9197.733,9202.4,NA,NA
16,93.2,93.434,92.867,93.2,622.4,624.067,57.7,61.3,61.3,61.334,9238,9239.8,NA,NA
17,94.434,94.967,93.434,94.434,653.467,654.2,61.334,61.467,61.467,62.8,12300.433,12305.066,NA,NA
18,95.167,95.3,94.967,95.167,661,661.534,62.8,63.1,63.1,63.567,13000.133,13005.233,NA,NA
19,95.567,96.8,95.3,95.567,684.8,685.4,63.567,75.8,75.8,75.9,13013.133,13015.9,NA,NA
20,96.834,99.234,96.8,96.834,711.667,713.134,75.9,75.934,75.934,75.967,14340.399,14343.066,NA,NA
21,99.4,99.634,99.234,99.4,787.867,788.667,75.967,76.034,76.034,76.867,15530.566,15535.266,NA,NA
22,99.667,99.7,99.634,99.667,789.9,794.334,76.867,76.934,76.934,78.5,16749.599,16752.066,NA,NA
23,100.034,120.634,99.7,100.034,805.434,819.334,78.5,80.634,186.1,186.134,19649.565,19650.032,NA,NA
24,120.834,121.2,120.634,120.834,833.067,841.034,184.434,186.1,186.267,186.3,19975.132,19979.532,NA,NA
25,121.4,122.634,121.2,121.4,851.5,861.334,186.134,186.267,186.4,186.467,20106.632,20111.732,NA,NA
26,122.734,122.834,122.634,122.734,870.6,895.7,186.3,186.4,186.5,186.534,20113.965,20142.732,NA,NA
27,122.9,123.067,122.834,122.9,931.967,935.1,186.467,186.5,187.7,188.234,20210.032,20214.932,NA,NA
28,123.667,123.7,123.067,123.667,950.167,960.234,186.534,187.7,188.3,189.1,20343.298,20346.832,NA,NA
29,137.467,137.6,123.7,137.467,973.467,974.034,188.234,188.3,189.7,192.234,20366.398,20372.098,NA,NA
30,137.667,137.734,137.6,137.667,990.4,1002.167,189.1,189.7,192.534,193.8,20396.365,20397.232,NA,NA
31,137.834,137.9,137.734,137.834,1014.034,1015.134,192.234,192.534,255.667,255.7,20466.165,20467.332,NA,NA
32,138,140.367,137.9,138,1022.567,1026.067,193.8,198.434,256.134,256.4,20738.431,20742.298,NA,NA
33,140.467,140.534,140.367,140.467,1031.1,1035.934,253.567,255.667,256.7,257.034,20780.165,20780.665,NA,NA
34,140.667,142.134,140.534,140.667,1109.9,1111.734,255.7,256.134,257.5,261.867,NA,NA,NA,NA
35,142.267,142.434,142.134,142.267,1139.334,1142.3,256.4,256.7,262.267,262.867,NA,NA,NA,NA
36,142.5,143.767,142.434,142.5,1146.967,1148.1,257.034,257.5,263,268.534,NA,NA,NA,NA
37,144.1,146.5,143.767,144.1,1246.7,1247.4,261.867,262.267,268.6,269.867,NA,NA,NA,NA
38,169.3,169.734,146.5,169.3,1278.234,1283.667,262.867,263,271.3,271.534,NA,NA,NA,NA
39,170.034,170.234,169.734,170.034,1328.534,1331.667,268.534,268.6,299.634,299.667,NA,NA,NA,NA
40,170.4,171.534,170.234,170.4,1336.534,1342.067,269.867,271.3,301,301.034,NA,NA,NA,NA
41,172.334,172.567,171.534,172.334,1374.2,1382.2,271.534,275.334,301.067,301.834,NA,NA,NA,NA
42,172.6,172.7,172.567,172.6,1409.2,1409.834,295.2,299.634,301.9,302.334,NA,NA,NA,NA
43,173.5,173.634,172.7,173.5,1411.9,1413.9,299.667,301,303.034,303.2,NA,NA,NA,NA
44,174.234,174.734,173.634,174.234,1438.367,1445.1,301.034,301.067,306.434,306.634,NA,NA,NA,NA
45,201.8,201.9,174.734,183.067,1538.9,1544.5,301.834,301.9,307.634,309.367,NA,NA,NA,NA
46,201.934,202.134,200.134,201.8,1544.534,1544.9,302.334,303.034,383.2,383.267,NA,NA,NA,NA
47,203.9,204.134,201.9,201.934,1555.967,1561.1,303.2,306.434,383.734,383.934,NA,NA,NA,NA
48,204.267,204.667,202.134,203.9,1566.8,1570.7,306.634,307.634,398.934,399,NA,NA,NA,NA
49,205.5,205.567,204.134,204.267,1589.834,1599.3,309.367,310.867,400.134,400.2,NA,NA,NA,NA
50,209.834,210.867,204.667,205.5,1627.2,1631.134,382.267,383.2,401.867,402,NA,NA,NA,NA
51,312.667,312.8,205.567,209.834,1668.367,1669.067,383.267,383.734,408.467,408.534,NA,NA,NA,NA
52,313.067,316.2,210.867,251.334,1720.534,1721.534,383.934,398.934,414.067,414.134,NA,NA,NA,NA
53,317.2,317.334,282.6,287.7,1722.534,1723.134,399,400.134,611.8,611.934,NA,NA,NA,NA
54,317.667,317.734,311.634,312.667,1880.734,1890.634,400.2,401.867,612,612.267,NA,NA,NA,NA
55,318.667,318.867,312.8,313.067,1907.434,1908.834,402,408.467,690.134,690.6,NA,NA,NA,NA
56,319.067,319.334,316.2,317.2,1913.634,1914.567,408.534,414.067,693.534,693.8,NA,NA,NA,NA
57,322.734,322.867,317.334,317.667,1915.834,1918.8,414.134,481.334,697.934,699.6,NA,NA,NA,NA
58,328.734,328.8,317.734,318.667,1955.667,1957.734,551,579.2,701.6,701.8,NA,NA,NA,NA
59,344.934,345.334,318.867,319.067,1983.534,1998.834,593.267,598.067,701.867,702.2,NA,NA,NA,NA
60,345.4,345.467,319.334,322.734,2070.334,2074.067,598.8,611.8,702.6,704.467,NA,NA,NA,NA
61,345.734,345.8,322.867,328.734,2076.4,2085.6,611.934,612,705.067,705.867,NA,NA,NA,NA
62,345.867,359.2,328.8,344.934,2103.734,2104.367,612.267,617,706.334,708.067,NA,NA,NA,NA
63,359.267,359.8,345.334,345.4,2109.934,2110.434,621.467,622.4,708.867,708.934,NA,NA,NA,NA
64,359.934,367.4,345.467,345.734,2143.334,2144.567,654.2,661,709,709.067,NA,NA,NA,NA
65,369,369.534,345.8,345.867,2152.167,2152.334,685.4,690.134,710.134,710.334,NA,NA,NA,NA
66,369.6,369.667,359.2,359.267,2152.4,2152.834,690.6,693.534,863,863.1,NA,NA,NA,NA
67,370.4,370.667,359.8,359.934,2152.867,2153.167,693.8,697.934,863.267,863.567,NA,NA,NA,NA
68,375,379.334,367.4,369,2166.034,2196.734,699.6,701.6,864.3,866.067,NA,NA,NA,NA
69,380.134,380.467,369.534,369.6,2202.2,2202.8,701.8,701.867,966.467,967,NA,NA,NA,NA
70,489.934,489.967,369.667,370.4,2253.467,2256.767,702.2,702.6,969.567,970.3,NA,NA,NA,NA
71,490.034,490.067,370.667,375,2270.467,2275.967,704.467,705.067,970.4,970.734,NA,NA,NA,NA
72,490.567,509.734,379.334,380.134,2294.6,2295.3,705.867,706.334,1015.734,1020.034,NA,NA,NA,NA
73,511.867,512.034,380.467,381.334,2523.5,2528.3,708.067,708.867,1036.934,1037.134,NA,NA,NA,NA
