"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,559.538,2083.538,2100.438,2128.038,2131.238,2131.238,2131.571,2351.871,2389.204,4921.904,4922.07,15807.668,15808.535
2,559.538,2083.538,2324.304,2351.871,2131.571,2136.471,2136.471,2138.471,2389.738,2393.671,6569.27,6569.37,NA,NA
3,2100.438,2128.038,2389.204,2389.738,2138.471,2138.538,2138.538,2139.304,2421.338,2481.804,15054.702,15054.768,NA,NA
4,2223.171,2324.304,2393.671,2421.338,2139.304,2151.971,2151.971,2152.004,2482.404,2483.004,17326.702,17329.535,NA,NA
5,3052.604,3098.371,2481.804,2482.404,2152.004,2152.038,2152.038,2152.171,2484.671,2487.138,NA,NA,NA,NA
6,3200.238,3204.004,2483.004,2484.671,2152.171,2152.271,2152.271,2172.404,2490.671,2491.538,NA,NA,NA,NA
7,3260.004,3260.937,2487.138,2490.671,2172.404,2174.004,2174.004,2178.838,2491.738,2500.004,NA,NA,NA,NA
8,3261.404,3261.47,2491.538,2491.738,2178.838,2179.171,2179.171,2180.738,2500.138,2511.938,NA,NA,NA,NA
9,3261.837,3263.137,2500.004,2500.138,2180.738,2181.004,2181.004,2185.071,2513.604,2514.071,NA,NA,NA,NA
10,3293.237,3320.37,2511.938,2513.604,2185.071,2185.104,2185.104,2188.838,2514.204,2518.804,NA,NA,NA,NA
11,3366.237,3371.637,2514.071,2514.204,2188.838,2194.971,2194.971,2195.171,2519.204,2520.871,NA,NA,NA,NA
12,3400.67,3406.737,2518.804,2519.204,2195.171,2195.304,2195.304,2195.504,2532.271,2532.471,NA,NA,NA,NA
13,3410.17,3419.77,2520.871,2532.271,2195.504,2197.638,2197.638,2202.904,2533.604,2539.971,NA,NA,NA,NA
14,3803.17,3819.837,2532.471,2533.604,2202.904,2202.971,2202.971,2209.238,2540.338,2540.771,NA,NA,NA,NA
15,3886.704,3945.804,2539.971,2540.338,2209.238,2209.438,2209.438,2209.838,2559.438,2559.771,NA,NA,NA,NA
16,3969.404,3974.97,2540.771,2559.438,2209.838,2213.338,2213.338,2215.004,2559.804,2583.871,NA,NA,NA,NA
17,3986.87,3996.304,2559.771,2559.804,2215.004,2215.304,2215.304,2216.271,2593.238,2635.371,NA,NA,NA,NA
18,4006.07,4010.204,2583.871,2593.238,2216.271,2217.238,2217.238,2218.638,2636.471,2642.838,NA,NA,NA,NA
19,4181.67,4230.87,2635.371,2636.471,2218.638,2218.771,2218.771,2219.104,2643.671,2643.704,NA,NA,NA,NA
20,4232.437,4232.47,2642.838,2643.671,2219.104,2219.504,2219.504,2219.971,2643.738,2644.038,NA,NA,NA,NA
21,4373.57,4381.504,2643.704,2643.738,2219.971,2223.171,3099.771,3137.371,2644.404,2659.671,NA,NA,NA,NA
22,4437.37,4459.104,2644.038,2644.404,3098.371,3099.771,3137.504,3137.671,2670.838,2676.038,NA,NA,NA,NA
23,4473.437,4547.037,2659.671,2670.838,3137.371,3137.504,3153.904,3153.971,2677.804,2677.971,NA,NA,NA,NA
24,4653.004,4708.237,2676.038,2677.804,3137.671,3153.904,3154.171,3159.271,2681.971,2683.104,NA,NA,NA,NA
25,4790.504,4796.67,2677.971,2681.971,3153.971,3154.171,3159.738,3164.838,2683.138,2683.171,NA,NA,NA,NA
26,4872.47,4907.104,2683.104,2683.138,3159.271,3159.738,3164.871,3180.404,2683.771,2683.804,NA,NA,NA,NA
27,4966.537,4976.604,2683.171,2683.771,3164.838,3164.871,3181.038,3183.104,2684.004,2684.438,NA,NA,NA,NA
28,5259.57,5269.537,2683.804,2684.004,3180.404,3181.038,3183.304,3189.071,2684.571,2685.438,NA,NA,NA,NA
29,5430.404,5434.97,2684.438,2684.571,3183.104,3183.304,3190.604,3199.804,2685.471,2685.804,NA,NA,NA,NA
30,5591.804,5595.537,2685.438,2685.471,3189.071,3190.604,3360.17,3366.037,2686.238,2686.304,NA,NA,NA,NA
31,5596.737,5598.504,2685.804,2686.238,3199.804,3200.238,3421.404,3429.07,2686.438,2686.538,NA,NA,NA,NA
32,5627.07,5651.204,2686.304,2686.438,3320.37,3360.17,3429.137,3435.104,2687.938,2688.138,NA,NA,NA,NA
33,5808.07,5823.337,2686.538,2687.938,3366.037,3366.237,3435.204,3435.504,2691.438,2709.304,NA,NA,NA,NA
34,5899.67,5902.704,2688.138,2691.438,3419.77,3421.404,3435.637,3440.77,2709.371,2725.304,NA,NA,NA,NA
35,5925.537,5926.57,2709.304,2709.371,3429.07,3429.137,3441.037,3441.104,2725.671,2727.671,NA,NA,NA,NA
36,6078.737,6108.97,2725.304,2725.671,3435.104,3435.204,3442.104,3443.004,2734.438,2739.004,NA,NA,NA,NA
37,6203.737,6232.004,2727.671,2734.438,3435.504,3435.637,3447.57,3447.704,2739.838,2740.304,NA,NA,NA,NA
38,6555.404,6569.27,2739.004,2739.838,3440.77,3441.037,3448.37,3449.104,2742.204,2742.704,NA,NA,NA,NA
39,6569.404,6569.537,2740.304,2742.204,3441.104,3442.104,3472.77,3472.837,2744.704,2745.071,NA,NA,NA,NA
40,6614.037,6634.904,2742.704,2744.704,3443.004,3447.57,3472.87,3472.904,2745.438,2745.704,NA,NA,NA,NA
41,6690.77,6767.404,2745.071,2745.438,3447.704,3448.37,3473.104,3474.404,2748.338,2798.671,NA,NA,NA,NA
42,12603.169,12603.202,2745.704,2748.338,3449.104,3472.77,3489.37,3494.37,2799.004,2799.304,NA,NA,NA,NA
43,12603.469,12618.702,2798.671,2799.004,3472.837,3472.87,3534.97,3640.237,2801.304,2811.738,NA,NA,NA,NA
44,12618.769,12618.869,2799.304,2801.304,3472.904,3473.104,3640.77,3640.837,2813.271,2819.471,NA,NA,NA,NA
45,12619.736,12620.036,2811.738,2813.271,3474.404,3489.37,3641.104,3642.47,2821.204,2821.338,NA,NA,NA,NA
46,12674.602,12694.502,2819.471,2821.204,3494.37,3534.97,3647.104,3649.437,2821.771,2821.804,NA,NA,NA,NA
47,12982.902,12987.636,2821.338,2821.771,3640.237,3640.77,3705.137,3706.037,2821.938,2828.504,NA,NA,NA,NA
48,13014.402,13024.369,2821.804,2821.938,3640.837,3641.104,3706.737,3707.437,2830.338,2837.171,NA,NA,NA,NA
49,13029.736,13042.436,2828.504,2830.338,3642.47,3647.104,3707.837,3708.237,2837.238,2837.771,NA,NA,NA,NA
50,13123.636,13170.102,2837.171,2837.238,3649.437,3705.137,3708.304,3708.437,2837.904,2839.371,NA,NA,NA,NA
51,13496.836,13515.336,2837.771,2837.904,3706.037,3706.737,3708.604,3709.937,2839.738,2840.038,NA,NA,NA,NA
52,13666.236,13755.469,2839.371,2839.738,3707.437,3707.837,3710.904,3712.104,2843.604,2843.638,NA,NA,NA,NA
53,13976.669,13984.269,2840.038,2843.604,3708.237,3708.304,3713.304,3713.337,2843.738,2843.804,NA,NA,NA,NA
54,14070.535,14121.068,2843.638,2843.738,3708.437,3708.604,3713.537,3713.637,2854.904,2856.704,NA,NA,NA,NA
55,14195.735,14195.802,2843.804,2854.904,3709.937,3710.904,3713.704,3713.937,2891.538,2893.138,NA,NA,NA,NA
56,14196.102,14227.702,2856.704,2891.538,3712.104,3713.304,3714.037,3725.937,2893.238,2894.071,NA,NA,NA,NA
57,14235.168,14252.368,2893.138,2893.238,3713.337,3713.537,3726.304,3726.37,2895.404,2896.571,NA,NA,NA,NA
58,14264.802,14264.902,2894.071,2895.404,3713.637,3713.704,3735.77,3735.904,2896.738,2900.704,NA,NA,NA,NA
59,14265.102,14267.635,2896.571,2896.738,3713.937,3714.037,3736.204,3737.67,2900.771,2910.671,NA,NA,NA,NA
60,14267.868,14269.102,2900.704,2900.771,3725.937,3726.304,3737.904,3738.27,2912.671,2913.738,NA,NA,NA,NA
61,14269.168,14269.368,2910.671,2912.671,3726.37,3735.77,3946.204,3951.67,2913.771,2919.871,NA,NA,NA,NA
62,14270.202,14272.068,2913.738,2913.771,3735.904,3736.204,3952.37,3956.804,2929.938,2930.704,NA,NA,NA,NA
63,14273.035,14275.435,2919.871,2929.938,3737.67,3737.904,3957.104,3959.37,2932.004,2932.938,NA,NA,NA,NA
64,14275.768,14279.235,2930.704,2932.004,3738.27,3803.17,3959.404,3961.804,2935.738,2936.271,NA,NA,NA,NA
65,14285.468,14294.002,2932.938,2935.738,3945.804,3946.204,3962.27,3962.637,2938.371,2941.404,NA,NA,NA,NA
66,14294.035,14294.268,2936.271,2938.371,3951.67,3952.37,3963.27,3967.37,2943.504,3022.471,NA,NA,NA,NA
67,14354.768,14365.802,2941.404,2943.504,3956.804,3957.104,3967.77,3967.804,3037.804,3037.971,NA,NA,NA,NA
68,14606.402,14634.068,3022.471,3037.804,3959.37,3959.404,3967.837,3967.87,3038.704,3039.238,NA,NA,NA,NA
69,14901.268,14902.202,3037.971,3038.704,3961.804,3962.27,3975.137,3975.304,3039.571,3046.104,NA,NA,NA,NA
70,14903.702,14975.335,3039.238,3039.571,3962.637,3963.27,3975.47,3975.87,3046.138,3046.171,NA,NA,NA,NA
71,14975.435,14975.502,3046.104,3046.138,3967.37,3967.77,3983.804,3986.637,3046.571,3050.138,NA,NA,NA,NA
72,14975.568,14975.635,3046.171,3046.571,3967.804,3967.837,4233.804,4250.137,3239.671,3242.871,NA,NA,NA,NA
73,15041.035,15054.702,3050.138,3052.604,3967.87,3969.404,4250.237,4250.337,3243.004,3243.838,NA,NA,NA,NA
74,15054.768,15102.168,3204.004,3239.671,3974.97,3975.137,4250.97,4272.704,3243.904,3243.971,NA,NA,NA,NA
75,15102.935,15109.502,3242.871,3243.004,3975.304,3975.47,4272.837,4272.97,3244.004,3244.238,NA,NA,NA,NA
76,15197.668,15232.435,3243.838,3243.904,3975.87,3983.804,4459.737,4470.204,3244.904,3258.704,NA,NA,NA,NA
77,15245.835,15245.968,3243.971,3244.004,3986.637,3986.87,4723.637,4723.737,3258.804,3260.004,NA,NA,NA,NA
78,15246.435,15246.802,3244.238,3244.904,3996.304,4006.07,4723.87,4754.17,3264.104,3271.737,NA,NA,NA,NA
79,15605.835,15609.968,3258.704,3258.804,4230.87,4232.437,4759.204,4760.47,3271.937,3272.204,NA,NA,NA,NA
80,15796.868,15807.668,3260.937,3261.404,4232.47,4233.804,4761.437,4761.77,3272.704,3272.77,NA,NA,NA,NA
81,15828.035,15828.602,3261.47,3261.837,4250.137,4250.237,4762.87,4763.57,3280.237,3280.404,NA,NA,NA,NA
82,16157.202,16159.102,3263.137,3264.104,4250.337,4250.97,4773.37,4773.504,3280.437,3282.47,NA,NA,NA,NA
83,16224.802,16231.835,3271.737,3271.937,4272.704,4272.837,4775.67,4776.27,3282.704,3293.237,NA,NA,NA,NA
84,16871.402,16875.068,3272.204,3272.704,4272.97,4373.57,4776.437,4776.504,3371.637,3372.737,NA,NA,NA,NA
85,17163.435,17178.702,3272.77,3280.237,4459.104,4459.737,4776.57,4776.837,3372.87,3373.304,NA,NA,NA,NA
86,17199.602,17266.368,3280.404,3280.437,4470.204,4473.437,4776.937,4779.604,3373.67,3374.737,NA,NA,NA,NA
87,17272.468,17273.802,3282.47,3282.704,4708.237,4723.637,4779.637,4789.37,3374.937,3381.57,NA,NA,NA,NA
88,17307.935,17326.268,3372.737,3372.87,4723.737,4723.87,4999.77,5019.87,3396.67,3397.77,NA,NA,NA,NA
89,17382.002,17390.068,3373.304,3373.67,4754.17,4759.204,5112.97,5113.037,3397.804,3397.837,NA,NA,NA,NA
90,17649.535,17653.235,3374.737,3374.937,4760.47,4761.437,5113.137,5197.337,3397.87,3399.67,NA,NA,NA,NA
91,17737.535,17752.568,3381.57,3396.67,4761.77,4762.87,5198.904,5241.337,3399.77,3399.87,NA,NA,NA,NA
92,17760.335,17767.335,3397.77,3397.804,4763.57,4773.37,5241.37,5246.204,3406.737,3407.237,NA,NA,NA,NA
93,NA,NA,3397.837,3397.87,4773.504,4775.67,5435.804,5435.837,3407.537,3407.837,NA,NA,NA,NA
