"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Interact_Left_start","Interact_Left_stop","Interact_Right_start","Interact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,249.667,263.169,267.167,255.669,257.418,NA,NA,NA,NA,260.167,263.168,249.668,255.668,1777.568,1779.368,7472.533,7473.933
2,257.419,260.166,267.919,269.169,315.669,319.918,NA,NA,NA,NA,267.168,267.918,312.419,315.668,1830.101,1831.968,11606.233,11606.333
3,305.17,305.916,276.419,277.667,320.669,332.918,NA,NA,NA,NA,269.17,276.418,319.919,320.669,2247.201,2247.701,11606.466,11606.699
4,311.169,312.418,277.918,277.919,372.417,373.168,NA,NA,NA,NA,277.668,277.918,332.919,339.918,2291.068,2291.135,11606.733,11606.766
5,339.919,342.168,278.168,289.417,373.669,376.168,NA,NA,NA,NA,277.919,278.167,352.418,355.417,2682.268,2683.668,11606.933,11607.066
6,350.918,352.417,344.667,349.416,376.918,378.418,NA,NA,NA,NA,289.418,305.169,360.919,372.416,12234.266,12236.466,17733.399,17733.432
7,355.418,360.918,434.917,448.918,379.669,385.916,NA,NA,NA,NA,305.917,311.168,373.169,373.668,17350.665,17360.665,17733.765,17733.832
8,430.919,433.167,449.169,453.169,390.169,393.418,NA,NA,NA,NA,342.169,344.666,376.169,376.917,NA,NA,17733.899,17734.265
9,487.999,492.717,453.669,458.916,393.918,401.668,NA,NA,NA,NA,349.417,350.917,378.419,379.668,NA,NA,NA,NA
10,513.719,515.218,459.169,461.168,402.418,403.669,NA,NA,NA,NA,433.168,434.916,385.917,390.168,NA,NA,NA,NA
11,542.219,543.216,461.417,462.918,404.669,405.167,NA,NA,NA,NA,448.919,449.168,393.419,393.917,NA,NA,NA,NA
12,598.001,598.768,462.919,464.419,407.919,413.668,NA,NA,NA,NA,453.17,453.668,401.669,402.417,NA,NA,NA,NA
13,599.135,610.635,466.418,469.416,413.919,414.418,NA,NA,NA,NA,458.917,459.168,403.67,404.668,NA,NA,NA,NA
14,610.968,611.068,473.669,475.916,414.919,420.918,NA,NA,NA,NA,461.169,461.416,405.168,407.918,NA,NA,NA,NA
15,616.935,624.468,516.219,516.717,494.219,494.968,NA,NA,NA,NA,462.918,462.919,413.669,413.918,NA,NA,NA,NA
16,632.468,636.535,516.718,517.468,497.969,500.218,NA,NA,NA,NA,464.419,466.417,414.419,414.918,NA,NA,NA,NA
17,639.068,645.235,520.469,520.718,500.717,501.218,NA,NA,NA,NA,469.417,473.668,420.919,430.918,NA,NA,NA,NA
18,659.535,666.601,538.969,539.717,503.217,511.717,NA,NA,NA,NA,475.917,487.998,492.718,494.218,NA,NA,NA,NA
19,685.735,687.601,541.217,542.218,630.835,631.135,NA,NA,NA,NA,515.219,516.218,494.969,497.968,NA,NA,NA,NA
20,693.735,703.535,545.469,547.218,631.401,631.835,NA,NA,NA,NA,516.717,516.718,500.219,500.716,NA,NA,NA,NA
21,730.835,731.035,548.469,550.967,631.868,632.235,NA,NA,NA,NA,517.469,520.468,501.219,503.216,NA,NA,NA,NA
22,731.235,738.035,554.718,555.968,632.301,632.368,NA,NA,NA,NA,520.719,538.968,511.718,513.718,NA,NA,NA,NA
