"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,2.4,2.4,2.667,2.667,2.7,41.333,49.033,49.033,49.133,309,314.167,4483.333,4483.366
2,15.633,22.067,2.7,3.533,3.533,3.567,49.133,52.7,104.6,112.267,583,585.667,10900.099,10900.166
3,40.067,41.333,3.567,5.4,5.4,5.467,103.6,104.6,112.7,112.867,787.3,787.867,10912.666,10912.699
4,52.7,53.333,5.467,5.633,5.633,5.733,112.267,112.7,114.933,114.967,908.967,909.933,11310.532,11311.966
5,102.933,103.6,5.733,15.367,15.367,15.633,112.867,114.933,115,115.567,1295.833,1299.333,17887.965,17888.832
6,123.7,124.9,23.5,23.867,22.067,23.5,114.967,115,115.6,115.9,2445.767,2451.467,NA,NA
7,127.733,128.2,24.033,30.2,23.867,24.033,115.567,115.6,116.433,117.033,3464.633,3469.167,NA,NA
8,167,168.633,30.3,31.4,30.2,30.3,115.9,116.433,117.167,117.5,4445.6,4446.033,NA,NA
9,172.733,174.633,32.133,36.3,31.4,32.133,117.033,117.167,117.667,122.333,5283.5,5285.166,NA,NA
10,177.667,178.2,82.3,82.367,36.3,40.067,117.5,117.667,128.533,128.6,6871.966,6882.233,NA,NA
11,232.6,233.933,85.133,85.233,53.333,82.3,122.333,123.7,129.033,129.167,10142.066,10151.866,NA,NA
12,234.1,234.367,85.4,85.433,82.367,85.133,128.2,128.533,129.267,129.567,10880.299,10881.032,NA,NA
13,262.833,264.467,85.667,85.733,85.233,85.4,128.6,129.033,129.6,129.9,11054.832,11059.032,NA,NA
14,300.933,304.267,90.4,90.433,85.433,85.667,129.167,129.267,133.767,134.133,11462.332,11466.266,NA,NA
15,383.133,383.7,93.5,93.533,85.733,90.4,129.567,129.6,134.867,141.033,11828.366,11831.699,NA,NA
16,425.833,426.433,182.467,182.5,90.433,93.5,129.9,133.767,141.067,141.2,12056.032,12059.932,NA,NA
17,502.933,513.533,198.867,198.9,93.533,102.933,134.133,134.867,141.367,142.7,12453.999,12459.032,NA,NA
18,575.433,578.233,202.567,202.667,124.9,127.733,141.033,141.067,142.967,143.033,13052.332,13052.532,NA,NA
19,633.767,642.4,203.233,203.3,168.633,172.733,141.2,141.367,143.167,144.467,13058.299,13062.899,NA,NA
20,657.933,658.467,207.333,207.367,178.2,182.467,142.7,142.967,144.633,145.367,13252.632,13265.832,NA,NA
21,712.8,716.533,209.567,209.6,182.5,198.867,143.033,143.167,145.433,153.767,13357.332,13361.799,NA,NA
22,736.233,738.467,209.8,209.833,198.9,202.567,144.467,144.633,154.033,154.333,13476.566,13480.332,NA,NA
23,782.533,784.233,210.833,210.933,202.667,203.233,145.367,145.433,154.433,154.767,13620.299,13624.899,NA,NA
24,784.3,785.067,223.9,224,203.3,207.333,153.767,154.033,154.833,154.867,13720.466,13723.799,NA,NA
25,819.167,826.633,228.567,228.633,207.367,209.567,154.333,154.433,155.1,155.133,13742.366,13746.832,NA,NA
26,910.2,915.033,228.667,228.7,209.6,209.8,154.767,154.833,155.3,155.367,13772.966,13783.866,NA,NA
27,944,952.6,231.633,231.7,209.833,210.833,154.867,155.1,155.433,159.7,18185.565,18187.332,NA,NA
28,972.7,983.367,272.1,272.133,210.933,223.9,155.133,155.3,159.8,160.167,19634.265,19641.265,NA,NA
29,1048.733,1049.4,406.067,406.1,224,228.567,155.367,155.433,160.2,160.233,19652.765,19662.631,NA,NA
30,1065.3,1073.533,667.3,667.333,228.633,228.667,159.7,159.8,160.267,160.3,19669.965,19679.898,NA,NA
31,1146.1,1158.2,668.933,669.1,228.7,231.633,160.167,160.2,235.167,235.267,19680.465,19681.831,NA,NA
32,1177.533,1184.567,669.3,670.9,231.7,232.6,160.233,160.267,235.3,236.1,20101.465,20116.565,NA,NA
33,1187.533,1189.233,674.433,674.7,264.467,272.1,160.3,167,236.133,236.733,20802.898,20803.165,NA,NA
34,1212.467,1215.9,675.767,675.8,272.133,300.933,174.633,177.667,237.033,237.2,20809.965,20811.898,NA,NA
35,1265.667,1293.833,803.033,803.1,383.7,406.067,233.933,234.1,237.367,237.4,20862.031,20864.298,NA,NA
36,1331.167,1340.767,1050.8,1050.967,406.1,425.833,234.367,235.167,237.533,237.633,21023.365,21026.065,NA,NA
37,1341.033,1342.167,1088.533,1088.567,578.233,583,235.267,235.3,237.833,238.333,21028.798,21032.865,NA,NA
38,1342.7,1343.167,1094.167,1096.2,585.667,633.767,236.1,236.133,238.367,239.7,21062.498,21064.898,NA,NA
39,1470.2,1470.767,1119.6,1119.633,658.467,667.3,236.733,237.033,239.733,240.133,21122.565,21125.731,NA,NA
40,1509.267,1509.467,1144.067,1144.233,667.333,668.933,237.2,237.367,240.2,240.467,21153.098,21155.931,NA,NA
41,1516.3,1538.5,1198.067,1198.1,669.1,669.3,237.4,237.533,240.667,241.933,21189.031,21190.965,NA,NA
42,1591.067,1595.8,1203.967,1204,670.9,674.433,237.633,237.833,242,242.1,21193.298,21193.765,NA,NA
43,1621.333,1629.133,1302.4,1302.467,674.7,675.767,238.333,238.367,242.5,243.167,21267.298,21270.631,NA,NA
44,1682.067,1683.367,1692.8,1692.9,675.8,712.8,239.7,239.733,243.233,244.1,21600,21600,NA,NA
45,1706.467,1713.4,1695.567,1695.667,716.533,736.233,240.133,240.2,244.433,245.533,21600,21600,NA,NA
46,1714.167,1732.5,1742.733,1742.867,784.233,784.3,240.467,240.667,246.333,247.767,21600,21600,NA,NA
47,1925.067,1932.733,1747.967,1748.067,785.067,787.3,241.933,242,247.8,248.067,NA,NA,NA,NA
48,1977.133,2009.533,1789.833,1790.4,787.867,803.033,242.1,242.5,248.433,249.033,NA,NA,NA,NA
49,2050.233,2051.733,1807.467,1807.533,803.1,819.167,243.167,243.233,251,251.2,NA,NA,NA,NA
50,2149.833,2153.833,1874.267,1874.6,915.033,944,244.1,244.433,251.4,252.1,NA,NA,NA,NA
51,2170.567,2173.067,2058.733,2059.4,1049.4,1050.8,245.533,246.333,252.7,252.8,NA,NA,NA,NA
52,2202.267,2209.767,2059.7,2059.867,1050.967,1065.3,247.767,247.8,252.867,253.1,NA,NA,NA,NA
53,2219.667,2221.367,2061.333,2061.433,1073.533,1088.533,248.067,248.433,253.167,254.733,NA,NA,NA,NA
54,2259.633,2260.833,2067.467,2067.8,1088.567,1094.167,249.033,251,255.033,255.133,NA,NA,NA,NA
55,2263.5,2268.5,2068.933,2069.033,1096.2,1119.6,251.2,251.4,255.2,255.533,NA,NA,NA,NA
56,2311.3,2311.9,2069.633,2069.667,1119.633,1144.067,252.1,252.7,258.1,258.167,NA,NA,NA,NA
57,2312.367,2313.3,2069.8,2069.833,1144.233,1146.1,252.8,252.867,258.6,258.733,NA,NA,NA,NA
58,2391.167,2394.233,2070.733,2070.867,1189.233,1198.067,253.1,253.167,314.167,314.6,NA,NA,NA,NA
59,2401.7,2410.367,2081.867,2082.2,1198.1,1203.967,254.733,255.033,315.467,315.5,NA,NA,NA,NA
60,2410.833,2419.1,2085.1,2085.167,1204,1212.467,255.133,255.2,315.6,328.167,NA,NA,NA,NA
61,2427.4,2434.1,2086.933,2087,1293.833,1295.833,255.533,258.1,328.433,332,NA,NA,NA,NA
62,2474.533,2479.133,2092.567,2092.633,1299.333,1302.4,258.167,258.6,332.2,332.367,NA,NA,NA,NA
63,2491.6,2501.033,2107.067,2107.267,1302.467,1331.167,258.733,262.833,332.667,333.067,NA,NA,NA,NA
64,2503.9,2510.833,2107.3,2107.333,1538.5,1591.067,304.267,309,333.267,333.4,NA,NA,NA,NA
65,2543.367,2544.767,2108.967,2109.067,1683.367,1692.8,314.6,315.467,333.5,333.6,NA,NA,NA,NA
66,2564.067,2569,2109.733,2109.767,1692.9,1695.567,315.5,315.6,334.267,334.367,NA,NA,NA,NA
67,2673.8,2685.5,2111.267,2112.6,1695.667,1706.467,328.167,328.433,334.467,334.633,NA,NA,NA,NA
68,2736.967,2738.167,2112.633,2112.867,1732.5,1742.733,332,332.2,334.767,334.8,NA,NA,NA,NA
69,2756.5,2757.033,2113,2113.433,1742.867,1747.967,332.367,332.667,337.967,338,NA,NA,NA,NA
70,2820.733,2827.533,2113.567,2113.633,1748.067,1789.833,333.067,333.267,338.267,338.867,NA,NA,NA,NA
71,2874.4,2899.133,2114.8,2115.233,1790.4,1807.467,333.4,333.5,341.267,341.667,NA,NA,NA,NA
72,2996.633,2997.533,2115.267,2115.9,1807.533,1874.267,333.6,334.267,341.867,341.933,NA,NA,NA,NA
73,3010.367,3022.767,2117.7,2119.9,1874.6,1925.067,334.367,334.467,342.033,342.1,NA,NA,NA,NA
74,3061.633,3064.367,2132.667,2132.933,1932.733,1977.133,334.633,334.767,346.2,346.4,NA,NA,NA,NA
75,3069.933,3095.433,2132.967,2133,2051.733,2058.733,334.8,337.967,346.433,346.933,NA,NA,NA,NA
76,3119.733,3119.967,2140.567,2140.6,2059.4,2059.7,338,338.267,347.467,347.533,NA,NA,NA,NA
77,3128,3137.567,2144.367,2144.7,2059.867,2061.333,338.867,341.267,347.733,347.8,NA,NA,NA,NA
78,3146.767,3282.367,2161.633,2161.733,2061.433,2067.467,341.667,341.867,349.733,349.833,NA,NA,NA,NA
