"X1","Center_start","Center_stop","Unknown_start","Unknown_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop"
1,0,1.5,1.5,4.733,4.733,6.7,6.7,6.733,218.4,240.833,240.833,241.633,1191.567,1191.6
2,210,218.4,945.9,950.333,6.733,6.767,6.767,7.3,241.633,241.667,241.667,244.133,NA,NA
3,332.1,333.533,1600.4,1602.633,7.3,8,8,8.1,244.133,244.267,244.267,248.6,NA,NA
4,353.733,356.667,2530.033,2532.6,8.1,11.667,11.667,11.7,248.6,248.633,248.633,248.667,NA,NA
5,367.133,369,2734.7,2734.967,11.7,14.167,14.167,14.233,248.667,248.7,248.7,252.933,NA,NA
6,420.6,421.2,2941.767,2952.333,14.233,16.667,16.667,16.933,252.933,254.167,254.167,255.533,NA,NA
7,508.333,517.6,3188.167,3192.033,16.933,17.1,17.1,17.267,255.533,258.433,258.433,258.867,NA,NA
8,522.533,527.533,3835.633,3844.433,17.267,24.2,24.2,24.867,258.867,259.767,259.767,260.3,NA,NA
9,550.033,551.767,3851.6,3871.666,24.867,24.967,24.967,26.533,260.3,271.533,271.533,309.933,NA,NA
10,584.5,592.267,3884.466,3896.666,26.533,26.6,26.6,26.633,309.933,310.2,310.2,331.167,NA,NA
11,969.233,971.2,4575.233,4576.566,26.633,26.733,26.733,26.9,331.167,332.1,360.5,363.167,NA,NA
12,1012.967,1022.967,4608.233,4612.866,26.9,26.933,26.933,27,356.667,360.5,371.8,371.967,NA,NA
13,1191.6,1231.267,5220.9,5224.233,27,47.267,47.267,47.433,363.167,367.133,372.067,372.233,NA,NA
14,1280.733,1286.933,7992.066,7994.833,47.433,50.2,50.2,50.233,369,371.8,374.5,374.567,NA,NA
15,1287.167,1287.567,8088.366,8090.133,50.233,51.733,51.733,52.467,371.967,372.067,374.667,374.7,NA,NA
16,1288,1289.2,8384.833,8389.566,52.467,53.067,53.067,54.133,372.233,374.5,374.8,375.7,NA,NA
