"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
1,0,3.1208,3.1208,3.32,14.0104,14.0768,34.7936,34.86,35.0592,35.192,35.6568,35.7232,56.5064,58.2992
2,3.32,4.1168,4.1168,14.0104,14.2096,24.7672,53.5184,53.5848,35.3912,35.4576,35.9888,36.0552,72.5088,75.2312
3,32.0048,34.7936,14.0768,14.2096,24.9,24.9664,2816.9536,2817.352,35.524,35.6568,36.52,37.2504,81.8712,84.66
4,34.86,35.0592,24.7672,24.9,25.7632,26.4936,NA,NA,35.7232,35.9888,37.3168,37.516,112.1496,112.8136
5,35.192,35.3912,24.9664,25.7632,26.56,26.6264,NA,NA,36.0552,36.3208,37.9808,38.0472,112.88,113.1456
6,35.4576,35.524,26.4936,26.56,26.892,27.2904,NA,NA,37.516,37.9808,40.6368,40.7032,140.2368,142.8928
7,36.3208,36.52,26.6264,26.892,27.3568,27.9544,NA,NA,38.0472,40.6368,41.7656,44.156,163.1448,164.0744
8,37.2504,37.3168,27.2904,27.3568,30.1456,30.212,NA,NA,40.7032,41.7656,44.9528,45.3512,164.1408,164.2736
9,53.3192,53.3856,27.9544,30.1456,75.6296,75.696,NA,NA,44.156,44.9528,45.816,46.0152,170.4488,171.8432
10,53.5848,54.3152,30.212,32.0048,77.4224,77.8872,NA,NA,45.3512,45.816,48.472,49.6672,171.9096,172.0424
11,55.3776,56.1744,66.6656,71.3136,80.8088,80.8752,NA,NA,46.0152,48.472,49.8,49.9328,173.1048,174.4328
12,65.2048,66.6656,72.2432,72.3096,116.6648,116.7312,NA,NA,49.6672,49.8,49.9992,50.132,175.296,176.0928
13,71.3136,72.2432,72.4424,72.5088,143.4904,143.6232,NA,NA,49.9328,49.9992,50.1984,50.3976,183.596,183.8616
14,72.3096,72.4424,75.2312,75.6296,225.0296,225.2288,NA,NA,50.132,50.1984,50.5304,51.3272,208.828,209.0936
15,75.8288,76.5592,75.696,75.8288,240.2352,240.3016,NA,NA,50.3976,50.5304,51.9248,51.9912,288.7072,290.3672
16,84.66,85.1912,76.5592,77.4224,282.9968,283.1296,NA,NA,51.3272,51.9248,52.1904,52.2568,328.68,329.676
17,92.4288,93.8232,77.8872,80.8088,422.1048,422.1712,NA,NA,51.9912,52.1904,52.456,53.3192,630.8,636.1784
18,113.7432,114.54,80.8752,81.8712,591.0264,591.292,NA,NA,52.2568,52.456,54.3152,55.3776,698.86,699.0592
19,121.4456,124.7656,85.1912,92.4288,950.9808,951.0472,NA,NA,53.3856,53.5184,56.1744,56.44,743.2152,743.8128
20,134.1944,135.2568,114.54,116.6648,1061.072,1061.2048,NA,NA,56.44,56.5064,58.6312,59.2952,998.2576,999.1872
21,149.2008,149.4,116.7312,121.4456,1610.532,1610.5984,NA,NA,58.2992,58.6312,59.3616,59.8928,4557.4304,4557.8952
22,162.5472,163.1448,135.2568,140.2368,1638.3536,1638.4864,NA,NA,59.2952,59.3616,60.2248,61.088,NA,NA
23,164.0744,164.1408,142.8928,143.4904,2232.1688,2232.2352,NA,NA,59.8928,60.2248,61.752,61.8184,NA,NA
24,171.8432,171.9096,143.6232,149.2008,2360.3872,2361.7152,NA,NA,61.088,61.752,62.2832,63.8104,NA,NA
25,172.5072,172.5736,149.4,162.5472,2362.0472,2362.6448,NA,NA,61.8184,62.2832,64.076,64.3416,NA,NA
26,174.4328,174.6984,164.2736,170.4488,2362.7112,2362.844,NA,NA,63.8104,64.076,64.9392,65.2048,NA,NA
27,174.8312,174.964,172.0424,172.5072,2363.0432,2363.1096,NA,NA,64.3416,64.9392,93.8232,96.28,NA,NA
28,175.0968,175.296,172.5736,173.1048,2369.484,2370.2144,NA,NA,96.28,96.944,96.944,101.3928,NA,NA
29,176.0928,181.0064,174.6984,174.8312,2371.5424,2371.6088,NA,NA,101.3928,101.4592,101.4592,101.5256,NA,NA
30,218.124,220.3816,174.964,175.0968,2371.6752,2371.808,NA,NA,101.5256,101.592,101.592,103.3184,NA,NA
31,226.2248,226.6896,220.3816,225.0296,2559.8528,2560.052,NA,NA,103.3184,103.3848,103.3848,103.5176,NA,NA
32,241.1648,244.2192,225.2288,226.2248,2560.3176,2560.4504,NA,NA,103.5176,103.7168,103.7168,106.1736,NA,NA
33,264.4048,265.5336,226.6896,240.2352,2563.8368,2563.9696,NA,NA,106.1736,106.24,106.24,110.9544,NA,NA
34,275.3608,278.0832,240.3016,241.1648,2586.4128,2586.944,NA,NA,110.9544,112.1496,113.1456,113.7432,NA,NA
35,283.528,287.1136,265.5336,275.3608,2591.7912,2591.8576,NA,NA,112.8136,112.88,124.7656,125.4296,NA,NA
36,288.2424,288.7072,278.0832,282.9968,2596.24,2596.3728,NA,NA,125.4296,125.8944,125.8944,126.8904,NA,NA
37,290.5,317.2592,283.1296,283.528,2772.9968,2773.3288,NA,NA,126.8904,126.9568,126.9568,128.484,NA,NA
38,329.676,330.1408,290.3672,290.5,2773.3952,2775.188,NA,NA,128.484,130.6752,130.6752,130.7416,NA,NA
39,351.4552,352.9824,317.2592,328.68,2902.7424,2902.8088,NA,NA,130.7416,132.0696,132.0696,132.3352,NA,NA
40,431.9984,433.1272,352.9824,422.1048,3066.8832,3067.4144,NA,NA,132.3352,132.8664,132.8664,134.1944,NA,NA
41,448.3992,451.9184,422.1712,431.9984,3211.104,3211.1704,NA,NA,183.8616,183.928,181.0064,183.596,NA,NA
42,467.9208,468.784,468.784,474.1624,3556.4504,3556.5168,NA,NA,183.9944,186.252,183.928,183.9944,NA,NA
43,474.1624,486.048,486.048,492.1568,3702.7296,3702.796,NA,NA,188.0448,188.3104,186.252,188.0448,NA,NA
44,492.1568,492.2896,492.2896,492.5552,4068.1288,4068.1952,NA,NA,191.0328,191.1656,188.3104,191.0328,NA,NA
45,492.5552,497.2032,518.4512,522.0368,4109.5624,4109.828,NA,NA,191.9624,192.0952,191.1656,191.9624,NA,NA
46,499.1952,518.4512,525.556,527.7472,4117.132,4117.1984,NA,NA,193.8216,194.0208,192.0952,193.8216,NA,NA
47,522.0368,525.556,562.3416,591.0264,4144.024,4144.1568,NA,NA,195.216,195.4816,194.0208,195.216,NA,NA
48,527.7472,528.4776,591.292,592.0888,4145.1528,4145.2192,NA,NA,204.844,204.9104,195.4816,204.844,NA,NA
49,561.3456,562.3416,610.0832,630.8,4147.6096,4147.676,NA,NA,208.2304,208.7616,204.9104,208.2304,NA,NA
50,592.0888,593.4168,636.3112,636.9088,4148.672,4148.7384,NA,NA,209.0936,209.16,208.7616,208.828,NA,NA
51,607.4272,610.0832,644.412,647.6656,4151.4608,4151.66,NA,NA,210.3552,210.4216,209.16,210.3552,NA,NA
52,636.1784,636.3112,659.7504,662.4728,4152.7224,4153.984,NA,NA,213.4096,213.7416,210.4216,213.4096,NA,NA
53,636.9088,644.412,670.2416,678.3424,4158.2336,4158.3664,NA,NA,214.2064,214.2728,213.7416,214.2064,NA,NA
54,647.6656,658.688,699.3912,743.2152,4158.4992,4158.632,NA,NA,216.7296,217.5928,214.2728,216.7296,NA,NA
55,658.8208,659.7504,747.3984,751.4488,4161.2216,4161.288,NA,NA,246.4104,249.5312,217.5928,218.124,NA,NA
56,662.4728,665.1288,789.0312,800.5184,4161.4872,4161.6864,NA,NA,251.3904,259.2256,244.2192,246.4104,NA,NA
57,669.5776,670.2416,847.9944,850.916,4162.0848,4162.4168,NA,NA,259.4912,261.2176,249.5312,251.3904,NA,NA
58,678.3424,679.604,860.6768,950.9808,4163.2136,4163.28,NA,NA,261.7488,261.8152,259.2256,259.4912,NA,NA
59,697.9968,698.86,951.0472,953.1056,4197.5424,4198.0072,NA,NA,263.2096,263.276,261.2176,261.7488,NA,NA
