"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,3.534,3.534,3.734,49.834,51.067,51.067,57.534,57.534,59.4,309.634,311.6
2,3.734,4.4,4.4,5.4,143.1,148.534,59.4,59.467,59.467,61.767,864.1,864.867
3,5.4,5.434,5.434,6.167,148.834,148.867,61.767,61.934,61.934,62.034,1010.034,1014.3
4,6.167,6.267,6.267,8.634,150.067,150.1,62.034,62.2,62.2,63.9,1811.567,1814.934
5,8.634,8.734,8.734,11.534,150.134,150.2,63.9,64.367,64.367,64.767,2053.834,2055.767
6,11.534,11.567,11.567,23.4,150.467,150.5,64.767,66.267,66.267,66.334,2300.367,2303.667
7,23.4,25.7,25.7,26,164.967,166.434,66.334,66.4,66.4,73.934,2442.167,2450.334
8,26,26.834,26.834,29.967,172.667,175.334,73.934,74.267,74.267,92.1,2760.2,2764.1
9,29.967,30.034,30.034,30.4,195.367,196.334,92.1,93.1,93.1,93.534,3602.266,3631
10,30.4,30.5,30.5,30.534,226.134,227.134,93.534,93.634,93.634,93.767,11399.532,11401.066
11,30.534,30.734,30.734,30.9,230.667,231.567,93.767,98.567,98.567,99.9,13083.866,13085.199
12,30.9,31.067,31.067,31.234,274.5,276.034,99.9,103.467,103.467,103.534,14325.632,14329.632
13,31.234,31.3,31.3,32.067,298.567,299.067,103.534,103.7,103.7,104,NA,NA
14,32.067,32.1,32.1,34.634,299.267,306.034,104,119.4,119.4,120.634,NA,NA
15,34.634,34.934,34.934,35.667,371.267,377.234,120.634,143.1,198.067,206.9,NA,NA
16,35.667,36.2,36.2,37.767,397.8,399.834,166.434,172.667,206.967,221.467,NA,NA
17,37.767,37.934,37.934,38.167,423.367,424.2,196.334,198.067,276.7,284.834,NA,NA
18,38.167,38.734,38.734,49.467,475.2,476.8,206.9,206.967,284.867,296.467,NA,NA
19,49.467,49.834,148.534,148.834,502.034,503.767,221.467,226.134,307.167,307.234,NA,NA
20,150.5,150.534,148.867,150.067,518.867,520,276.034,276.7,307.3,307.367,NA,NA
21,158.234,164.967,150.1,150.134,635.367,641.8,284.834,284.867,311.6,315.1,NA,NA
22,175.334,176.834,150.2,150.467,642.667,645.367,296.467,298.567,319.6,322.667,NA,NA
23,177.034,177.1,150.534,158.234,666.6,672.1,299.067,299.267,322.734,323.067,NA,NA
24,177.234,177.367,176.834,177.034,717.167,717.934,306.034,307.167,323.134,323.534,NA,NA
25,180.8,180.967,177.1,177.234,767.8,768.867,307.234,307.3,345.067,345.234,NA,NA
26,183.734,183.934,177.367,180.8,801.934,802.634,307.367,309.634,345.267,345.334,NA,NA
27,187.567,189.767,180.967,183.734,847.9,853.634,315.1,319.6,345.467,345.567,NA,NA
28,190.267,192.2,183.934,187.567,857.167,863.234,322.667,322.734,345.634,346.4,NA,NA
