"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,17.067,17.067,17.1,26.9,26.967,89.1,95.133,95.133,96.5,456.5,456.533
2,17.1,17.367,17.367,17.433,30.467,30.733,96.5,96.533,96.533,96.6,13860.331,13867.065
3,17.433,17.467,17.467,17.6,32.967,33.133,96.6,96.633,96.633,96.7,15674.331,15674.431
4,17.6,17.8,17.8,18.167,35.8,36.067,96.7,96.933,96.933,100.833,NA,NA
5,18.167,18.867,18.867,19.567,36.3,36.367,100.833,101.8,113.567,115.2,NA,NA
6,19.567,20.3,20.3,20.567,37.067,37.133,102.5,113.567,116.1,116.833,NA,NA
7,20.567,20.833,20.833,24.633,38,38.033,115.2,116.1,116.867,116.933,NA,NA
8,24.633,24.733,24.733,25.167,39.833,40.233,116.833,116.867,117.1,117.633,NA,NA
9,25.167,26.2,26.2,26.5,46.4,46.5,116.933,117.1,117.733,117.767,NA,NA
10,26.5,26.9,27.033,30.467,47.433,47.467,117.633,117.733,120.2,120.333,NA,NA
11,26.967,27.033,30.733,31.467,47.5,47.9,117.767,120.2,120.4,120.433,NA,NA
12,31.467,31.567,31.567,32.533,47.933,48.367,120.333,120.4,120.567,120.7,NA,NA
13,32.533,32.967,33.233,33.3,48.433,48.467,120.433,120.567,120.733,123.2,NA,NA
14,33.133,33.233,33.333,35.8,62.033,65.167,120.7,120.733,123.233,123.267,NA,NA
15,33.3,33.333,36.067,36.3,71.133,71.667,123.2,123.233,123.3,124.567,NA,NA
16,65.167,71.133,36.367,37.067,72.267,72.533,123.267,123.3,124.667,126.733,NA,NA
17,85.533,89.1,37.133,38,79.367,81.933,124.567,124.667,139.033,139.233,NA,NA
18,101.8,102.5,38.033,39.833,82.2,82.233,126.733,127.767,139.533,139.567,NA,NA
19,127.767,130.8,40.233,46.4,82.267,82.333,138.667,139.033,139.8,139.967,NA,NA
20,130.9,130.933,46.5,47.433,82.7,82.867,139.233,139.533,140.467,141.633,NA,NA
21,130.967,133.167,47.467,47.5,82.933,83.367,139.567,139.8,144.167,144.6,NA,NA
22,137.133,138.667,47.9,47.933,84.167,84.567,139.967,140.467,144.967,145,NA,NA
23,164.2,166.4,48.367,48.433,85.233,85.3,141.633,144.167,145.067,145.167,NA,NA
24,166.433,166.833,48.467,62.033,85.467,85.533,144.6,144.967,145.367,145.4,NA,NA
25,167.433,167.733,71.667,72.267,133.167,134.133,145,145.067,146.167,147.267,NA,NA
26,173.6,176.5,72.533,79.367,134.233,134.267,145.167,145.367,148.2,149.433,NA,NA
27,183.8,184.433,81.933,82.2,134.467,134.533,145.4,146.167,149.5,163.4,NA,NA
28,192.867,202.7,82.233,82.267,136.7,137.133,147.267,148.2,181.233,183.1,NA,NA
29,220.1,221.467,82.333,82.7,167.733,168.5,149.433,149.5,222.6,223.733,NA,NA
