"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,2.366,2.366,2.433,6.633,6.666,35.3,35.933,35.933,40.133,2580.8,2810.733
2,2.433,5.2,5.2,6.633,6.7,15.5,40.133,40.3,40.3,48.5,3088.866,3243.4
3,19.233,23.933,6.666,6.7,16.833,18.566,48.5,48.533,48.533,48.633,NA,NA
4,32.933,33.1,15.5,16.833,18.733,19.233,48.633,48.666,48.666,49.266,NA,NA
5,33.133,35.3,18.566,18.733,32.766,32.933,98.133,98.333,98.333,98.366,NA,NA
6,49.266,53,23.933,32.766,33.1,33.133,98.366,98.533,98.533,110.766,NA,NA
7,62.733,64.8,53,55.133,55.133,55.2,110.766,110.933,110.933,111.066,NA,NA
8,96.7,98.133,55.2,55.366,55.366,55.666,111.066,111.466,111.466,113.3,NA,NA
9,113.3,113.866,55.666,55.833,55.833,58.6,132.033,132.066,113.866,132.033,NA,NA
10,159.3,160.1,58.6,59.6,59.6,59.766,132.166,132.2,132.066,132.166,NA,NA
11,186.166,187.033,59.766,62.3,62.3,62.566,133.166,133.333,132.2,133.166,NA,NA
12,194.333,194.633,62.566,62.733,65,65.1,133.666,133.866,133.333,133.666,NA,NA
13,302.2,304.666,64.8,65,65.2,65.333,144.1,145.6,133.866,144.1,NA,NA
14,327.2,328.066,65.1,65.2,65.466,65.5,145.966,146.266,145.6,145.966,NA,NA
15,380.333,381.533,65.333,65.466,65.6,65.7,146.433,146.733,146.266,146.433,NA,NA
16,442.366,443.033,65.5,65.6,66.033,66.133,146.766,146.8,146.733,146.766,NA,NA
17,443.166,443.233,65.7,66.033,68.1,74.566,147.033,147.1,146.8,147.033,NA,NA
18,484.033,485.4,66.133,68.1,75,75.466,152.166,152.333,147.1,152.166,NA,NA
19,485.5,485.8,74.566,75,75.966,78.966,152.966,154,152.333,152.966,NA,NA
20,486.133,488.466,75.466,75.966,85.866,86.3,154.6,154.633,154,154.6,NA,NA
21,526.433,530,78.966,85.866,86.366,86.666,156.633,156.666,154.633,156.633,NA,NA
22,620.6,621.466,86.3,86.366,87.333,87.366,190.466,190.733,156.666,159.3,NA,NA
23,623.866,624.166,86.666,87.333,87.4,87.566,190.866,194.333,187.033,190.466,NA,NA
24,666,680.866,87.366,87.4,87.666,87.933,194.633,199.066,190.733,190.866,NA,NA
25,689.666,690.333,87.566,87.666,88.5,88.633,206.033,208.866,199.066,206.033,NA,NA
26,745.1,746.1,87.933,88.5,89.166,89.966,269.033,269.066,208.866,269.033,NA,NA
27,779.966,786.133,88.633,89.166,90.866,91.933,272.266,273.233,269.066,272.266,NA,NA
28,857.933,858.766,89.966,90.866,92.366,94.1,284.5,284.533,273.233,284.5,NA,NA
29,864.3,864.466,91.933,92.366,94.233,94.4,285.8,285.933,284.533,285.8,NA,NA
30,902.8,911.366,94.1,94.233,169.233,169.366,286,286.133,285.933,286,NA,NA
31,947.733,953.966,94.4,96.7,175.5,176.366,286.9,287.066,286.133,286.9,NA,NA
32,970.733,971.266,160.1,169.233,181.633,181.9,289,289.8,287.066,289,NA,NA
33,1064.333,1084.533,169.366,175.5,182.733,182.833,295.733,295.766,289.8,295.733,NA,NA
34,1099.766,1100.3,176.366,181.633,405.666,406.4,296,296.033,295.766,296,NA,NA
35,1333.666,1333.7,181.9,182.733,407.933,408,328.066,328.333,296.033,302.2,NA,NA
36,1333.833,1337.166,182.833,186.166,408.333,417.633,333.233,333.633,328.333,333.233,NA,NA
37,1337.466,1337.5,304.666,327.2,440.5,440.533,333.666,333.7,333.633,333.666,NA,NA
38,1363.166,1364.833,381.533,405.666,485.4,485.5,337.766,338.033,333.7,337.766,NA,NA
39,1396.3,1407.733,406.4,407.933,485.8,486.133,338.5,338.666,338.033,338.5,NA,NA
40,1540.233,1546.7,408,408.333,488.466,489.866,339.066,339.266,338.666,339.066,NA,NA
41,1547.6,1550.766,417.633,440.5,491.066,492.933,343.033,343.333,339.266,343.033,NA,NA
42,1551.066,1551.1,440.533,442.366,493.866,493.9,343.766,350.5,343.333,343.766,NA,NA
43,1551.2,1555.866,489.866,491.066,495.033,495.066,350.666,351.766,350.5,350.666,NA,NA
44,1679.333,1683.4,492.933,493.866,497.2,497.3,353.533,353.666,351.766,353.533,NA,NA
45,1893.2,1898.9,493.9,495.033,520.033,520.133,353.833,353.866,353.666,353.833,NA,NA
46,1945.533,1948.6,495.066,497.2,521.2,521.466,365,365.066,353.866,365,NA,NA
47,2014.066,2029.833,497.3,520.033,522.466,522.566,380.2,380.266,365.066,380.2,NA,NA
48,2082.633,2093.966,520.133,521.2,523.366,523.466,443.233,443.3,380.266,380.333,NA,NA
49,2161.8,2163.2,521.466,522.466,523.5,523.533,444.066,444.366,443.033,443.166,NA,NA
50,2278.233,2310.833,522.566,523.366,623.466,623.5,446.766,446.933,443.3,444.066,NA,NA
51,2401.2,2401.233,523.466,523.5,623.533,623.566,447,447.133,444.366,446.766,NA,NA
52,2411.333,2415.133,523.533,526.433,640.2,658.4,448,448.8,446.933,447,NA,NA
53,2415.5,2440.733,621.466,623.466,665.5,665.733,449,449.166,447.133,448,NA,NA
54,2565.433,2575.166,623.5,623.533,727.433,728.9,449.266,449.366,448.8,449,NA,NA
55,2580.133,2580.533,623.566,623.866,728.966,729.266,449.833,452.833,449.166,449.266,NA,NA
56,2811.5,2854.133,624.166,640.2,730.4,730.5,457.666,458.766,449.366,449.833,NA,NA
57,3082.133,3086.9,658.4,665.5,730.966,732.166,459.066,459.433,452.833,457.666,NA,NA
58,3243.666,3437.1,665.733,666,732.933,737.2,460.2,460.833,458.766,459.066,NA,NA
59,3513.433,3589.2,690.333,727.433,859.633,861.566,461.333,461.666,459.433,460.2,NA,NA
60,3691.433,3725.366,728.9,728.966,884.6,884.666,462.066,462.166,460.833,461.333,NA,NA
61,3725.4,3725.466,729.266,730.4,884.8,884.833,465.033,465.1,461.666,462.066,NA,NA
62,3756.166,3780.7,730.5,730.966,1100.766,1100.933,465.3,465.866,462.166,465.033,NA,NA
63,3794.3,3799.633,732.166,732.933,1122.566,1124.1,474.833,475.2,465.1,465.3,NA,NA
64,3911.566,3913.266,737.2,745.1,1144.3,1144.433,480.033,480.4,465.866,474.833,NA,NA
65,4074.1,4083.766,858.766,859.633,1145.1,1145.2,482.533,482.566,475.2,480.033,NA,NA
66,4140.466,4141.066,861.566,864.3,1145.866,1146,482.8,483,480.4,482.533,NA,NA
67,4143.2,4149.066,864.466,884.6,1146.066,1146.133,483.266,483.3,482.566,482.8,NA,NA
68,4156.066,4156.2,884.666,884.8,1146.4,1146.433,483.4,484.033,483,483.266,NA,NA
69,4156.333,4215.833,884.833,902.8,1146.566,1147.166,530,532.866,483.3,483.4,NA,NA
70,4230.6,4231.866,1100.3,1100.766,1149.333,1149.366,533.9,534.033,532.866,533.9,NA,NA
71,6330.332,6335.699,1100.933,1122.566,1150.633,1150.733,535,535.1,534.033,535,NA,NA
72,6434.166,6460.199,1124.1,1144.3,1159.9,1160.166,535.433,537.2,535.1,535.433,NA,NA
73,6688.066,6690.332,1144.433,1145.1,1160.4,1171.4,537.266,537.4,537.2,537.266,NA,NA
74,6746.299,6871.632,1145.2,1145.866,1171.733,1173.366,537.466,537.5,537.4,537.466,NA,NA
75,6901.666,6903.832,1146,1146.066,1173.7,1174,537.566,537.666,537.5,537.566,NA,NA
76,6926.632,6938.332,1146.133,1146.4,1181.3,1182.533,538.133,538.266,537.666,538.133,NA,NA
77,6938.699,6940.232,1146.433,1146.566,1182.8,1184.866,538.533,539.033,538.266,538.533,NA,NA
78,10194.499,10197.766,1147.166,1149.333,1185.166,1185.233,540.566,540.733,539.033,540.566,NA,NA
79,10235.099,10247.432,1149.366,1150.633,1222.633,1222.7,540.8,543.933,540.733,540.8,NA,NA
80,10463.466,10464.966,1150.733,1159.9,1222.733,1223.7,559,559.133,543.933,559,NA,NA
81,10507.699,10525.599,1160.166,1160.4,1279.233,1279.333,559.233,559.366,559.133,559.233,NA,NA
82,10587.932,10599.932,1171.4,1171.733,1281.6,1287.766,560.4,562.533,559.366,560.4,NA,NA
83,10605.032,10605.599,1173.366,1173.7,1291.9,1294.833,572.033,573.033,562.533,572.033,NA,NA
84,10765.598,10766.765,1174,1181.3,1295.166,1303.333,581.8,587.833,573.033,581.8,NA,NA
85,10780.765,10825.565,1182.533,1182.8,1303.5,1303.633,590,590.1,587.833,590,NA,NA
86,10901.232,10902.065,1184.866,1185.166,1303.733,1303.966,590.2,590.266,590.1,590.2,NA,NA
87,10986.865,11019.365,1185.233,1222.633,1304.766,1307.233,590.833,593.266,590.266,590.833,NA,NA
88,11019.432,11019.565,1222.7,1222.733,1307.466,1309.366,593.3,607.966,593.266,593.3,NA,NA
89,11079.632,11231.432,1223.7,1279.233,1310.566,1310.666,611.8,613,607.966,611.8,NA,NA
90,11231.498,11233.165,1279.333,1281.6,1310.733,1310.933,617.366,617.733,613,617.366,NA,NA
91,11233.198,11234.698,1287.766,1291.9,1311,1311.833,619.066,619.533,617.733,619.066,NA,NA
92,11234.965,11236.532,1294.833,1295.166,1312.733,1313.933,619.8,620.6,619.533,619.8,NA,NA
93,11236.865,11236.932,1303.333,1303.5,1321.333,1323.833,682,684.133,680.866,682,NA,NA
94,11236.998,11237.265,1303.633,1303.733,1324,1328.366,688.5,688.533,684.133,688.5,NA,NA
95,11277.198,11339.298,1303.966,1304.766,1328.733,1328.8,688.566,688.6,688.533,688.566,NA,NA
96,11409.565,11497.098,1307.233,1307.466,1329.1,1333.466,688.966,689.066,688.6,688.966,NA,NA
97,11512.098,11513.132,1309.366,1310.566,1333.7,1333.833,689.366,689.666,689.066,689.366,NA,NA
