"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,3.966,3.966,5.8,5.8,7.5,243.866,244,244.433,258.833,546.2,546.3,14688.364,14688.831
2,122.9,123.233,7.5,42.4,42.4,50.966,258.833,260.633,260.633,260.666,1630.866,1633.6,NA,NA
3,123.266,123.733,50.966,51.033,51.033,51.766,260.7,260.966,286.333,288.3,2507.633,2509.9,NA,NA
4,123.766,123.833,51.766,52.333,52.333,53.433,288.3,288.4,288.4,288.633,20015.998,20018.931,NA,NA
5,124.033,125.266,53.433,53.466,53.466,53.5,288.633,288.7,288.7,289.666,NA,NA,NA,NA
6,138.7,141.533,53.5,53.566,53.566,54.233,289.666,290.433,290.433,290.5,NA,NA,NA,NA
7,241.5,243.866,54.233,54.7,54.7,54.933,290.5,290.666,290.666,290.733,NA,NA,NA,NA
8,244,244.433,54.933,55.233,55.233,59.233,290.733,294.3,294.3,297.4,NA,NA,NA,NA
9,260.666,260.7,59.233,59.266,59.266,60.366,297.4,305.933,305.933,308.733,NA,NA,NA,NA
10,260.966,273.366,60.366,90.733,90.733,90.866,308.733,315.033,392.933,399.166,NA,NA,NA,NA
11,284.166,286.333,90.866,90.933,90.933,90.966,317.6,317.633,399.733,400.033,NA,NA,NA,NA
12,315.033,317.6,90.966,91.3,91.3,92.4,399.166,399.733,415.5,416.233,NA,NA,NA,NA
13,317.633,335,92.4,93.133,93.133,93.433,400.033,415.5,416.366,416.4,NA,NA,NA,NA
14,389.266,392.933,93.433,98.5,98.5,98.566,416.233,416.366,418.633,430.233,NA,NA,NA,NA
15,432.5,440.266,98.566,122.9,143.7,145.466,416.4,418.633,431.8,432.5,NA,NA,NA,NA
16,485.766,487.2,123.233,123.266,146.7,146.833,430.233,431.8,440.266,440.9,NA,NA,NA,NA
17,530.466,533.866,123.733,123.766,149.733,149.833,440.9,442.833,442.833,444.733,NA,NA,NA,NA
18,533.933,534.066,123.833,124.033,163.166,163.3,444.733,468.633,468.633,482.266,NA,NA,NA,NA
19,535.666,541.033,125.266,138.7,163.4,163.433,482.266,482.5,482.5,482.6,NA,NA,NA,NA
20,546.3,546.566,141.533,143.7,164.4,164.566,482.6,482.9,482.9,483.066,NA,NA,NA,NA
21,552.666,553.6,145.466,146.7,165.066,165.133,483.066,483.333,483.333,483.366,NA,NA,NA,NA
22,597.5,602.266,146.833,149.733,165.4,165.466,483.366,483.833,483.833,485.766,NA,NA,NA,NA
23,644.7,645.666,149.833,163.166,165.5,165.633,533.866,533.933,556.566,597.5,NA,NA,NA,NA
24,754.8,756.3,163.3,163.4,166.533,166.966,534.066,535.666,645.666,645.766,NA,NA,NA,NA
25,790.5,806.566,163.433,164.4,167.166,167.333,553.6,556.566,645.966,657.633,NA,NA,NA,NA
26,837.366,838.466,164.566,165.066,167.933,168.1,645.766,645.966,688.966,704.533,NA,NA,NA,NA
27,852,859.566,165.133,165.4,168.166,168.2,657.633,688.966,704.633,705,NA,NA,NA,NA
28,862.866,886.166,165.466,165.5,168.233,168.266,704.533,704.633,706.4,708.1,NA,NA,NA,NA
29,964.533,965.333,165.633,166.533,168.333,168.366,705,706.4,717.233,754.8,NA,NA,NA,NA
30,1001.1,1002.3,166.966,167.166,169.266,169.433,708.1,717.233,806.566,806.833,NA,NA,NA,NA
31,1054.866,1066.766,167.333,167.933,173.333,179.733,806.833,807.1,807.1,815.566,NA,NA,NA,NA
32,1066.833,1066.933,168.1,168.166,236.933,241.5,815.566,815.766,815.766,816.733,NA,NA,NA,NA
33,1104.7,1129.233,168.2,168.233,366.933,367.433,816.733,834.433,834.433,834.533,NA,NA,NA,NA
34,1178.533,1179.433,168.266,168.333,382.4,383.366,834.533,834.666,834.666,834.766,NA,NA,NA,NA
35,1196.066,1198,168.366,169.266,383.566,383.733,834.766,835.2,835.2,837.366,NA,NA,NA,NA
36,1214.133,1215.133,169.433,173.333,384.133,385.6,965.333,966.066,859.566,862.866,NA,NA,NA,NA
37,1365.566,1401.4,179.733,236.933,385.733,386.133,1066.766,1066.833,966.066,1001.1,NA,NA,NA,NA
38,1465.033,1475.2,273.366,284.166,503.633,503.833,1067.1,1067.733,1066.933,1067.1,NA,NA,NA,NA
39,1494.433,1499,335,366.933,505.933,506.566,1067.9,1068.033,1067.733,1067.9,NA,NA,NA,NA
40,1516.433,1541.466,367.433,382.4,509.133,509.166,1068.1,1068.633,1068.033,1068.1,NA,NA,NA,NA
41,1560.133,1560.9,383.366,383.566,509.233,509.766,1068.733,1082.533,1068.633,1068.733,NA,NA,NA,NA
42,1606.533,1608.133,383.733,384.133,509.966,510.833,1082.666,1085.633,1082.533,1082.666,NA,NA,NA,NA
43,1622.8,1628.266,385.6,385.733,511.5,511.966,1085.733,1085.8,1085.633,1085.733,NA,NA,NA,NA
44,1633.6,1634,386.133,389.266,512.1,512.133,1085.866,1086.066,1085.8,1085.866,NA,NA,NA,NA
45,1634.133,1636.066,487.2,503.633,512.833,513.366,1086.233,1092,1086.066,1086.233,NA,NA,NA,NA
46,1751,1752.7,503.833,505.933,603.066,603.633,1092.233,1098.333,1092,1092.233,NA,NA,NA,NA
47,1790.566,1840.3,506.566,509.133,605.433,605.666,1098.733,1101.166,1098.333,1098.733,NA,NA,NA,NA
48,1894.8,1896.733,509.166,509.233,605.766,606.666,1179.6,1180.3,1101.166,1104.7,NA,NA,NA,NA
49,1969.433,1971.833,509.766,509.966,617.533,617.733,1215.133,1215.2,1179.433,1179.6,NA,NA,NA,NA
50,2021.2,2036.933,510.833,511.5,624.833,624.9,1215.233,1234.966,1180.3,1196.066,NA,NA,NA,NA
51,2133.266,2135.366,511.966,512.1,626.5,626.566,1235.133,1235.233,1215.2,1215.233,NA,NA,NA,NA
52,2164.233,2170.166,512.133,512.833,626.833,626.933,1235.333,1240.033,1234.966,1235.133,NA,NA,NA,NA
53,2206.266,2210.2,513.366,530.466,630.266,633.566,1241.8,1241.9,1235.233,1235.333,NA,NA,NA,NA
54,2211.233,2227.933,541.033,546.2,773,773.933,1249.9,1251.466,1240.033,1241.8,NA,NA,NA,NA
55,2258.966,2263.1,546.566,552.666,774.866,775.3,1253,1253.133,1241.9,1249.9,NA,NA,NA,NA
56,2294.033,2296.066,602.266,603.066,775.7,777.933,1253.366,1253.6,1251.466,1253,NA,NA,NA,NA
57,2467.366,2495.5,603.633,605.433,778.6,778.833,1258.6,1258.666,1253.133,1253.366,NA,NA,NA,NA
58,2509.933,2511.5,605.666,605.766,780.366,780.4,1258.766,1258.833,1253.6,1258.6,NA,NA,NA,NA
59,2594.766,2617.1,606.666,617.533,782.366,782.5,1259.1,1259.233,1258.666,1258.766,NA,NA,NA,NA
60,2617.133,2627.566,617.733,624.833,783.4,783.566,1259.366,1259.5,1258.833,1259.1,NA,NA,NA,NA
61,3027.9,3039.6,624.9,626.5,783.966,784.233,1261.333,1261.4,1259.233,1259.366,NA,NA,NA,NA
