"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
1,0,11.467,11.467,11.633,21.367,22.733,22.733,25.833,25.833,31.3,48.233,50.9,16040.898,16041.098
2,11.633,12.533,12.533,14.367,31.8,32.367,31.3,31.8,82.233,82.267,162.933,166.567,16631.465,16637.731
3,14.367,14.667,14.667,14.8,46.067,47.433,47.433,48.233,156.533,156.633,213.967,217.9,NA,NA
4,14.8,15.267,15.267,15.967,50.9,51.367,59.9,61.433,171.867,172.2,234.867,238.433,NA,NA
5,15.967,16,16,16.133,58.933,59.9,81.7,82.233,172.267,173.767,496.967,509.3,NA,NA
6,16.133,16.167,16.167,17.6,61.433,61.933,82.267,83.333,173.867,174.7,854.6,873.367,NA,NA
7,17.6,21.367,33.133,33.233,81.067,81.7,155.5,156.533,220.733,220.867,1302.267,1309.833,NA,NA
8,32.367,33.133,40.567,40.633,83.333,83.667,156.633,156.833,220.933,223,1314.7,1316.067,NA,NA
9,33.233,40.567,152.933,153.067,153.433,155.5,169.4,171.867,224.5,224.9,1440.2,1440.633,NA,NA
10,40.633,46.067,153.133,153.167,156.833,157.233,172.2,172.267,225.133,225.967,1510.533,1511.333,NA,NA
11,51.367,58.933,247.133,247.367,166.667,169.4,173.767,173.867,226.2,226.367,1739.933,1747.2,NA,NA
12,61.933,81.067,247.5,247.633,174.933,175.3,174.7,174.933,228.933,229.933,1852.733,1856.1,NA,NA
13,83.667,152.933,247.667,248.8,185.933,189.5,207.167,213.967,230,230.433,2210.667,2214.267,NA,NA
14,153.067,153.133,250.9,251.2,199.9,201,217.9,219.367,230.667,230.767,2405.733,2407.433,NA,NA
15,153.167,153.433,257.133,257.6,203.367,207.167,220.233,220.733,230.9,231.133,2425.3,2425.7,NA,NA
16,157.233,162.933,257.667,257.8,219.367,220.233,220.867,220.933,259.9,262.6,2720.533,2723.267,NA,NA
17,166.567,166.667,257.867,258.133,245.6,245.967,223,224.5,269.7,270.367,3048.267,3059.933,NA,NA
18,175.3,185.933,335.967,336.033,258.167,258.633,224.9,225.133,273.933,274.2,3082.267,3083.133,NA,NA
19,189.5,199.9,336.567,336.7,325.5,326.033,225.967,226.2,304.5,304.733,3092.9,3097.933,NA,NA
20,201,203.367,528.267,528.667,337.033,337.433,226.367,228.933,304.933,305.767,3271.067,3271.433,NA,NA
21,245.967,247.133,529.567,530.767,479.267,479.967,229.933,230,307.2,308.333,3342.867,3344.033,NA,NA
22,247.367,247.5,530.867,531.167,481.8,482.267,230.433,230.667,322.267,322.633,3873,3877.867,NA,NA
23,247.633,247.667,531.2,534.267,511.167,511.533,230.767,230.9,322.767,322.8,3949.733,3953.533,NA,NA
24,248.8,250.9,534.6,536.6,521.267,526.967,231.133,234.867,323.733,324.533,4044.467,4046.767,NA,NA
25,251.2,257.133,536.633,537.933,542.9,543.533,238.433,245.6,337.9,339.433,4060.833,4065.433,NA,NA
26,257.6,257.667,538.633,539.433,590.7,591.333,258.633,259.9,344.333,345.733,4293.333,4296.633,NA,NA
27,257.8,257.867,540.233,540.8,627.533,630.567,262.6,269.7,347.767,347.8,4315.8,4319,NA,NA
