"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,6.7,6.7,9.2,9.2,9.8,20.733,23.4,23.4,23.766,20765.197,20766.13
2,18.5,20.733,9.8,9.866,9.866,9.9,23.766,23.8,23.8,24.166,20766.597,20776.43
3,34.133,35.6,9.9,10,10,10.033,24.166,24.233,24.233,24.266,20780.963,20781.83
4,39.766,40.866,10.033,10.066,10.066,10.7,24.266,24.3,24.3,24.466,NA,NA
5,40.933,41,10.7,10.733,10.733,13.533,24.466,24.633,24.633,29.433,NA,NA
6,41.133,41.166,13.533,13.566,13.566,13.6,29.433,34.133,40.866,40.933,NA,NA
7,41.2,41.233,13.6,13.833,13.833,13.866,43.133,43.833,41,41.133,NA,NA
8,41.433,41.5,13.866,13.966,13.966,14.033,44.533,44.6,41.166,41.2,NA,NA
9,42.033,43.133,14.033,14.133,14.133,15.633,45,45.833,41.233,41.433,NA,NA
10,49,54.333,15.633,15.966,15.966,17.233,48.033,48.2,41.5,42.033,NA,NA
11,57.966,59,17.233,17.266,17.266,17.4,48.3,48.333,43.833,44.533,NA,NA
12,65.966,68.866,17.4,18.5,38.433,38.466,48.7,48.733,44.6,45,NA,NA
13,79.066,79.7,35.6,38.433,38.5,38.833,48.8,49,45.833,48.033,NA,NA
14,84.1,84.7,38.466,38.5,38.933,39,54.333,55.666,48.2,48.3,NA,NA
15,93.9,94.7,38.833,38.933,39.033,39.066,55.7,55.8,48.333,48.7,NA,NA
16,95.9,100.233,39,39.033,61.3,61.533,57.933,57.966,48.733,48.8,NA,NA
17,122.2,122.9,39.066,39.766,61.666,61.7,68.866,69.033,55.666,55.7,NA,NA
18,130.9,132.366,59,61.3,61.766,65.566,69.1,73.5,55.8,57.933,NA,NA
19,135,138.3,61.533,61.666,81.9,82.033,78.566,79.066,69.033,69.1,NA,NA
20,154.933,158.733,61.7,61.766,82.233,83.3,84.7,85.1,73.5,78.566,NA,NA
21,176.5,179.1,65.566,65.966,83.366,83.466,86.166,86.7,85.1,86.166,NA,NA
22,191.633,192.5,79.7,81.9,95.066,95.733,88.266,89.5,86.7,88.266,NA,NA
23,210.833,215.166,82.033,82.233,127.833,129.6,91.3,93.9,89.5,91.3,NA,NA
24,216.7,217.233,83.3,83.366,133.066,134.1,100.233,100.933,100.933,100.966,NA,NA
25,231.633,238.366,83.466,84.1,141.666,143.933,100.966,101.033,101.033,101.1,NA,NA
26,238.433,241.5,94.7,95.066,144,144.133,101.1,101.133,101.133,101.233,NA,NA
27,287.166,288.566,95.733,95.9,153.433,153.6,101.233,101.466,101.466,101.533,NA,NA
28,290.166,290.766,122.9,127.833,153.666,153.766,101.533,102.833,102.833,112,NA,NA
29,306.233,309.833,129.6,130.9,159.866,159.933,112,112.066,112.066,115.033,NA,NA
30,309.966,314.166,132.366,133.066,160.066,173.666,115.033,122.2,192.966,202.433,NA,NA
31,314.233,314.3,134.1,135,243.766,258.633,192.5,192.966,217.566,217.633,NA,NA
32,314.5,314.833,138.3,141.666,265.9,285.433,202.433,210.833,217.833,218.1,NA,NA
33,317.233,324.9,143.933,144,329.1,329.366,217.233,217.566,218.433,229.1,NA,NA
34,341.966,343.633,144.133,153.433,329.433,341.566,217.633,217.833,229.233,231.433,NA,NA
