"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Center_start","Contact_Center_stop"
1,0,14.067,14.067,17.467,159.234,178.6,193.4,200.234,208.5,209.167,209.167,210.034,7415.882,7415.915
2,17.467,26.7,26.7,26.867,207.434,208.5,406.434,407.967,210.034,210.134,210.134,210.267,9515.882,9515.915
3,26.867,26.9,26.9,26.967,252.234,258.434,1813.083,1815.849,210.267,210.334,210.334,210.434,10055.882,10055.915
4,26.967,27.234,27.234,32.634,285.767,287.434,10649.149,10662.982,210.434,241.4,241.4,241.9,10110.282,10110.415
5,32.634,36.1,36.1,48.1,351.734,354.9,11821.648,11822.615,241.9,242.2,242.2,244.1,21272.247,21272.281
6,48.1,48.367,48.367,48.434,365.834,369.567,18695.647,18695.981,244.1,252.234,258.7,260.5,NA,NA
7,48.434,48.6,48.6,57.667,370.6,371.034,20888.481,20889.647,260.5,260.667,260.667,260.8,NA,NA
8,57.667,57.834,57.834,57.867,378.134,379.634,21388.414,21389.581,260.8,261.567,261.567,262.034,NA,NA
9,57.867,69.567,69.567,69.7,405.267,405.734,NA,NA,262.034,271,302.767,304.3,NA,NA
10,69.7,83.8,83.8,84.034,467.667,471.3,NA,NA,287.434,302.767,309.2,309.334,NA,NA
11,84.034,84.067,84.067,84.3,471.367,471.4,NA,NA,304.3,309.2,314.867,314.9,NA,NA
12,84.3,84.7,84.7,87.634,471.6,472.167,NA,NA,309.334,314.867,397.2,397.367,NA,NA
13,87.634,89.567,89.567,89.634,517.034,520.1,NA,NA,314.9,351.734,397.7,398.6,NA,NA
14,89.634,89.734,89.734,89.934,561.7,562.1,NA,NA,369.567,370.6,550.667,550.834,NA,NA
15,89.934,90,90,90.034,567.4,568.034,NA,NA,379.634,397.2,553.3,554.1,NA,NA
16,90.034,90.067,90.067,98.9,568.4,568.667,NA,NA,397.367,397.7,568.034,568.4,NA,NA
17,98.9,129.2,129.2,133.234,568.834,569.734,NA,NA,398.6,405.267,568.667,568.834,NA,NA
18,133.234,133.3,133.3,133.734,600.034,609.334,NA,NA,471.3,471.367,571.367,572.6,NA,NA
19,133.734,133.767,133.767,134.1,835.134,837.534,NA,NA,471.4,471.6,585.334,585.734,NA,NA
20,134.1,134.167,134.167,135.434,868.667,873.267,NA,NA,520.1,550.667,837.867,838.167,NA,NA
21,135.434,135.834,135.834,137.6,886.334,895.567,NA,NA,550.834,553.3,838.667,839.134,NA,NA
22,137.6,149.934,149.934,149.967,911.646,915.9,NA,NA,554.1,561.7,842.434,842.767,NA,NA
23,149.967,150,150,150.034,939.909,942.4,NA,NA,569.734,571.367,844.3,845.967,NA,NA
24,150.034,159.234,179.667,180.034,947.648,962.897,NA,NA,572.6,585.334,846,846.034,NA,NA
25,178.6,179.667,181.034,193.4,967.431,974.68,NA,NA,585.734,600.034,864.234,864.334,NA,NA
26,180.034,181.034,203.967,207.234,1008.934,1010.683,NA,NA,837.534,837.867,874.134,880.3,NA,NA
27,200.234,203.967,273.867,273.9,1165.431,1166.928,NA,NA,838.167,838.667,883.8,883.867,NA,NA
28,207.234,207.434,281,281.834,1178.431,1182.93,NA,NA,839.134,842.434,883.967,884,NA,NA
29,258.434,258.7,282.067,282.1,1277.431,1277.68,NA,NA,842.767,844.3,928.897,931.345,NA,NA
30,271,273.867,282.367,282.9,1301.431,1305.429,NA,NA,845.967,846,932.289,936.908,NA,NA
