"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop"
1,0,16.504,85.751,99.253,20.504,38.25,84.755,85.75,16.505,20.503
2,38.504,39.503,102.503,125.754,42.004,78.502,99.254,102.502,38.251,38.503
3,82.504,84.754,127.254,128.753,182.604,186.105,125.755,127.253,39.504,42.003
4,161.603,162.105,147.505,148.503,242.106,243.103,128.754,147.504,78.503,82.503
5,186.602,194.603,149.254,161.103,243.602,246.105,148.504,149.253,162.106,182.603
6,253.604,260.104,263.104,264.104,283.601,284.1,161.104,161.602,186.106,186.601
7,260.602,261.853,266.851,267.1,290.602,296.348,261.854,263.103,194.604,242.105
8,277.851,278.6,267.602,268.351,311.101,320.6,264.105,266.85,243.104,243.601
9,360.851,366.85,271.351,272.35,342.849,355.349,267.101,267.601,246.106,253.603
10,436.602,437.098,366.851,376.6,451.351,462.7,268.352,271.35,260.105,260.601
11,462.951,466.448,376.851,377.35,468.951,471.2,272.351,277.85,278.601,283.6
12,474.701,476.7,380.101,383.6,489.2,496.451,376.601,376.85,284.101,290.601
13,550.7,570.948,384.602,386.6,500.2,517.95,377.351,380.1,296.349,311.1
14,575.868,578.615,397.601,408.1,520.95,524.948,383.601,384.601,320.601,342.848
15,657.367,658.367,571.951,573.951,661.116,667.116,386.601,397.6,355.35,360.85
16,754.617,756.368,575.617,575.618,868.734,880.481,408.101,436.601,437.099,451.35
17,866.733,867.982,587.118,587.617,883.247,885.746,570.949,571.95,462.701,462.95
18,970.264,973.513,595.619,597.366,916.247,916.762,573.952,575.617,466.449,468.95
19,1090.331,1094.578,601.618,604.367,917.014,917.763,575.618,575.867,471.201,474.7
20,1095.081,1098.08,605.618,615.115,918.764,919.011,578.616,587.117,476.701,489.199
21,1125.581,1169.113,621.616,621.867,944.764,947.013,587.618,595.618,496.452,500.199
22,1281.364,1302.096,627.369,629.367,1399.597,1400.344,597.367,601.617,517.951,520.949
23,1311.346,1328.345,631.618,632.118,1404.097,1404.346,604.368,605.617,524.949,550.699
24,1561.231,1571.998,638.867,640.616,1407.594,1408.596,615.116,621.615,658.368,661.115
25,1572.031,1574.698,641.868,642.367,1418.097,1440.346,621.868,627.368,667.117,754.616
26,1652.298,1652.898,757.619,766.366,1440.597,1441.596,629.368,631.617,867.983,868.733
27,1656.965,1663.731,770.119,770.367,1442.095,1442.844,632.119,638.866,916.763,917.013
28,1665.531,1685.365,775.367,782.866,1535.565,1535.765,640.617,641.867,917.764,918.763
29,1736.798,1756.431,842.967,846.467,1535.931,1540.431,642.368,657.366,919.012,926.764
30,1756.531,1786.831,974.014,1000.428,1545.298,1547.765,756.369,757.618,927.014,944.763
31,1848.698,1879.498,1004.179,1004.68,1547.931,1550.298,766.367,770.118,947.014,970.263
32,1889.198,1890.398,1006.181,1006.43,1550.931,1551.998,770.368,775.366,1094.579,1095.08
33,1924.365,1939.431,1009.931,1011.18,1697.998,1698.031,782.867,842.966,1328.346,1399.596
34,1995.065,2006.065,1024.931,1025.43,1698.098,1698.498,842.966,866.732,1400.345,1404.096
35,2022.331,2028.198,1035.18,1035.68,1698.798,1699.931,846.467,974.013,1404.347,1407.593
36,2037.531,2040.531,1036.181,1040.93,1700.265,1700.631,973.514,1004.178,1408.597,1418.096
37,2044.565,2045.431,1043.18,1044.178,1701.965,1701.998,1000.429,1006.18,1440.347,1440.596
