"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Right_start","Contact_Right_stop"
1,0,7.767,7.767,7.8,18.667,21.334,26.867,28.534,50.5,50.634
2,7.8,8.067,8.067,10.167,49.534,50.5,28.967,29.134,58,58.134
3,10.167,12.167,12.167,14.134,50.634,53.1,34.634,36.167,209.934,210.034
4,14.134,14.167,14.167,14.2,56.767,58,36.234,36.267,210.334,210.367
5,14.2,18.667,23.467,23.6,58.134,58.334,36.3,36.5,210.434,210.667
6,21.334,23.467,23.667,24.234,181.234,209.934,58.867,59,211.9,211.934
7,23.6,23.667,28.534,28.967,210.034,210.334,79.834,80.367,211.967,212
8,24.234,26.867,34.267,34.334,210.367,210.434,108.2,112.034,233.934,233.967
9,29.134,34.267,36.167,36.234,210.667,211.9,112.767,113,234.067,234.1
10,34.334,34.634,36.267,36.3,211.934,211.967,146.134,169.867,324.734,329.934
11,36.5,49.534,93.4,95.334,212,233.934,236.2,242.767,388.2,388.8
12,53.1,56.767,95.934,95.967,233.967,234.067,288.034,297.234,388.834,390.267
13,58.334,58.867,112.034,112.767,234.1,234.667,299.067,299.4,390.467,390.6
14,59,79.834,297.234,299.067,323.934,324.734,358,384.167,461.1,465.067
15,80.367,93.4,536.167,536.2,329.934,354.334,533.2,536.167,465.167,465.3
16,95.334,95.934,536.3,536.934,386.2,388.2,536.2,536.3,548.6,548.9
17,95.967,108.2,868.7,869.934,388.8,388.834,536.934,537.134,549.234,550.034
18,113,146.134,878.667,878.734,390.267,390.467,579.834,596.634,550.134,550.434
19,169.867,181.234,878.8,878.9,390.6,390.867,880.834,880.934,550.634,550.834
20,234.667,236.2,880.734,880.834,459.9,461.1,899.2,901.167,611.267,612.234
21,242.767,288.034,927.167,928.434,465.067,465.167,926.3,927.167,627.9,627.934
22,299.4,323.934,1193.834,1194.467,545.767,548.6,928.434,928.967,628.034,628.134
23,354.334,358,1436.8,1436.834,548.9,549.234,1031.3,1034,628.167,628.334
24,384.167,386.2,1436.867,1438.134,550.034,550.134,1192.2,1192.334,857.567,858.334
25,390.867,459.9,1438.467,1439.467,550.434,550.634,1192.634,1192.667,859.334,859.6
26,465.3,533.2,1439.5,1439.9,550.834,552.134,1192.7,1193.834,859.7,865.067
27,537.134,545.767,1440.9,1441.534,627.5,627.667,1194.467,1194.667,865.2,865.3
28,552.134,579.834,1442.934,1443.034,628.334,628.434,1197.8,1199.867,941.3,941.6
29,596.634,611.267,1444,1445.3,854.734,857.567,1426.567,1436.8,941.667,941.7
30,612.234,627.5,1448.467,1448.5,858.334,859.334,1436.834,1436.867,941.9,942.434
31,627.667,627.9,1448.634,1448.7,859.6,859.7,1438.134,1438.467,954,954.034
32,627.934,628.034,1448.8,1448.834,865.067,865.2,1439.467,1439.5,954.3,954.367
33,628.134,628.167,1449.767,1449.834,865.3,865.367,1439.9,1440.9,954.667,954.7
34,628.434,854.734,1451.8,1451.834,931.6,941.3,1441.534,1442.934,954.834,955.267
35,865.367,868.7,1452.3,1452.367,941.6,941.667,1443.034,1444,958.334,958.4
36,869.934,878.667,1471.367,1471.534,941.7,941.9,1445.3,1448.467,961.234,961.334
37,878.734,878.8,1471.8,1473.534,942.434,954,1448.5,1448.634,961.467,962.434
38,878.9,880.734,1473.634,1474.767,954.034,954.3,1448.7,1448.8,962.534,962.7
39,880.934,899.2,1475.134,1476.234,954.367,954.667,1448.834,1449.767,973.467,973.567
40,901.167,926.3,1476.967,1477.1,954.7,954.834,1449.834,1451.8,1035.7,1035.8
41,928.967,931.6,1477.134,1479.934,955.267,958.334,1451.834,1452.3,1036.1,1037.367
42,979.334,1031.3,1480.034,1482.2,958.4,961.234,1452.367,1471.367,1037.667,1037.8
43,1034,1034.634,1482.367,1489.534,961.334,961.467,1471.534,1471.8,1038.067,1046.967
44,1070.767,1107.067,1490.1,1490.4,962.434,962.534,1473.534,1473.634,1047.1,1050.034
45,1162.3,1163.5,1490.7,1493.9,962.7,973.467,1474.767,1475.134,1051.634,1051.667
46,1184,1192.2,1494.1,1498.534,973.567,979.334,1476.234,1476.967,1051.867,1053.834
47,1192.334,1192.634,1507.467,1507.634,1034.634,1035.7,1477.1,1477.134,1054.367,1054.6
48,1192.667,1192.7,1525.4,1528.167,1035.8,1036.1,1479.934,1480.034,1054.7,1060.6
49,1194.667,1197.8,1570.3,1570.434,1037.367,1037.667,1482.2,1482.367,1060.667,1060.7
50,1199.867,1205.9,1570.667,1570.734,1037.8,1038.067,1489.534,1490.1,1061.634,1062.834
