"X1","Center_start","Center_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Center_start","Contact_Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
1,0,8.6,8.6,9.9,11.667,23.433,28.633,28.8,30.867,30.967,141.133,141.167,3741.233,3743.166
2,9.9,11.667,30.6,30.867,138.967,141.133,28.833,30.367,31.3,31.367,141.2,143.633,3789.833,3794.299
3,23.433,28.633,30.967,31.3,141.167,141.2,11118.565,11118.598,31.6,33.5,144.067,144.5,3801.399,3801.566
4,28.8,28.833,31.367,31.6,143.633,144.067,NA,NA,36.467,44.867,144.533,145.1,3921.166,3923.899
5,30.367,30.6,33.5,33.6,144.5,144.533,NA,NA,44.9,49.733,145.267,145.633,9040.532,9041.266
6,33.6,35.967,35.967,36.467,145.1,145.267,NA,NA,49.967,50.133,156.033,158.067,9497.966,9498.099
7,61.967,65.133,44.867,44.9,145.633,156.033,NA,NA,50.9,52,158.167,158.833,9802.599,9802.932
8,138.1,138.967,49.733,49.967,158.067,158.167,NA,NA,52.433,53.133,160.967,161.2,9810.666,9810.766
9,190.933,192.6,50.133,50.9,158.833,160.967,NA,NA,53.4,53.467,161.267,161.333,9828.899,9828.932
10,206.467,209.067,52,52.433,161.2,161.267,NA,NA,53.733,53.967,161.467,162.267,12411.032,12411.165
11,254.367,255.933,53.133,53.4,161.333,161.467,NA,NA,54.2,54.9,162.367,162.533,12419.498,12420.765
12,292.3,293.2,53.467,53.733,162.267,162.367,NA,NA,55.1,55.3,167.167,167.867,12496.865,12498.298
13,322.533,324.967,53.967,54.2,162.533,167.167,NA,NA,55.467,55.5,168.467,174.033,12817.165,12817.398
14,334.333,337.867,54.9,55.1,167.867,168.467,NA,NA,55.567,55.633,178.833,181.533,12844.765,12845.098
15,373.233,382.2,55.3,55.467,174.033,178.833,NA,NA,55.667,57.9,185.433,188.4,12852.665,12852.998
16,401.3,403.767,55.5,55.567,181.533,185.433,NA,NA,57.967,58.133,188.6,190.333,18687.297,18688.531
17,409.833,433.233,55.633,55.667,188.4,188.6,NA,NA,58.167,58.867,190.567,190.6,NA,NA
18,575.233,576.333,57.9,57.967,190.333,190.567,NA,NA,59,61.667,192.867,193.333,NA,NA
19,676.2,676.333,58.133,58.167,190.6,190.933,NA,NA,65.267,65.3,193.667,194.933,NA,NA
20,677.267,677.9,58.867,59,192.6,192.867,NA,NA,65.333,65.533,195.567,196.5,NA,NA
21,717.167,717.567,61.667,61.967,193.333,193.667,NA,NA,66.067,66.133,196.667,196.733,NA,NA
22,717.7,742,65.133,65.267,194.933,195.567,NA,NA,66.3,67.3,201.3,201.367,NA,NA
23,779.067,779.2,65.3,65.333,196.5,196.667,NA,NA,67.567,67.6,201.7,202.3,NA,NA
24,779.333,789.233,65.533,66.067,196.733,201.3,NA,NA,67.8,68,202.667,206.133,NA,NA
25,1230.9,1234.033,66.133,66.3,201.367,201.7,NA,NA,68.367,71,206.2,206.3,NA,NA
26,1251.833,1256.933,67.3,67.567,202.3,202.667,NA,NA,71.467,71.633,257.833,258.033,NA,NA
27,1313.767,1319.133,67.6,67.8,206.133,206.2,NA,NA,72.167,73.933,258.1,262.233,NA,NA
28,1369.367,1374.667,68,68.367,206.3,206.467,NA,NA,75.233,80.6,264.033,264.067,NA,NA
29,1379.833,1430.6,71,71.467,255.933,257.833,NA,NA,80.8,81.667,264.2,264.267,NA,NA
30,1475.133,1476.467,71.633,72.167,258.033,258.1,NA,NA,96.8,96.9,264.367,266.567,NA,NA
31,1485.033,1485.233,73.933,75.233,262.233,264.033,NA,NA,97.067,110.8,267.9,271.367,NA,NA
32,1485.4,1485.533,80.6,80.8,264.067,264.2,NA,NA,110.867,112.533,271.967,272.5,NA,NA
33,1485.733,1485.933,81.667,96.8,264.267,264.367,NA,NA,113.033,114.6,272.6,272.633,NA,NA
34,1487,1487.2,96.9,97.067,266.567,267.9,NA,NA,115.8,118.267,275.533,276.767,NA,NA
35,1487.433,1488.8,110.8,110.867,271.367,271.967,NA,NA,119.133,119.633,282.7,287.067,NA,NA
36,1497.8,1501.633,112.533,113.033,272.5,272.6,NA,NA,121.667,135.8,287.633,288.167,NA,NA
37,1507.8,1511,114.6,115.8,272.633,275.533,NA,NA,209.233,209.267,288.433,289.233,NA,NA
38,1526,1574.633,118.267,119.133,276.767,282.7,NA,NA,209.767,209.9,289.433,290.1,NA,NA
39,1586.133,1594.1,119.633,121.667,287.067,287.633,NA,NA,211.4,212.2,290.767,291.833,NA,NA
40,1699.8,1706.733,135.8,138.1,288.167,288.433,NA,NA,212.3,212.333,326.233,326.3,NA,NA
41,1740.2,1858.967,209.067,209.233,289.233,289.433,NA,NA,214.533,216.7,326.467,326.6,NA,NA
42,1931.767,1935,209.267,209.767,290.1,290.767,NA,NA,217.167,220.933,332.2,333.233,NA,NA
43,1939.533,1940.667,209.9,211.4,291.833,292.3,NA,NA,221.367,227.967,357.2,357.467,NA,NA
44,2020.9,2026.933,212.2,212.3,324.967,326.233,NA,NA,228.167,230.9,358.6,358.767,NA,NA
45,2043.6,2048.667,212.333,214.533,326.3,326.467,NA,NA,232.933,232.967,358.933,359.267,NA,NA
46,2050.133,2050.2,216.7,217.167,326.6,332.2,NA,NA,243.4,243.433,359.433,361.1,NA,NA
47,2050.533,2126.833,220.933,221.367,333.233,334.333,NA,NA,243.467,243.6,361.167,362.833,NA,NA
48,2132.3,2132.4,227.967,228.167,337.867,357.2,NA,NA,295.967,296,363.1,363.3,NA,NA
49,2169.133,2175.2,230.9,232.933,357.467,358.6,NA,NA,301.233,301.467,363.733,363.833,NA,NA
50,2194.2,2203.667,232.967,243.4,358.767,358.933,NA,NA,301.633,301.7,363.867,363.967,NA,NA
51,2209.667,2213.033,243.433,243.467,359.267,359.433,NA,NA,302.667,303.033,364.167,364.567,NA,NA
52,2268.167,2283.867,243.6,254.367,361.1,361.167,NA,NA,303.433,303.567,364.633,364.767,NA,NA
53,2313.6,2409.633,293.2,295.967,362.833,363.1,NA,NA,303.867,304.3,366.533,366.667,NA,NA
54,2410.9,2410.933,296,301.233,363.3,363.733,NA,NA,304.967,317.1,369.867,370.167,NA,NA
55,2414,2414.1,301.467,301.633,363.833,363.867,NA,NA,319.767,319.967,370.333,370.667,NA,NA
56,2415.167,2415.9,301.7,302.667,363.967,364.167,NA,NA,387.6,387.7,371.233,371.367,NA,NA
57,2416.367,2417.567,303.033,303.433,364.567,364.633,NA,NA,387.767,388.6,371.467,373,NA,NA
58,2417.867,2429.567,303.567,303.867,364.767,366.533,NA,NA,390.367,393.8,436.333,436.433,NA,NA
59,2430.933,2492.367,304.3,304.967,366.667,369.867,NA,NA,393.967,394.4,478.767,478.967,NA,NA
60,2532.4,2535.667,317.1,319.767,370.167,370.333,NA,NA,394.733,395.333,479.033,491.833,NA,NA
61,2728.8,2734.2,319.967,322.533,370.667,371.233,NA,NA,395.867,396.033,492.567,492.7,NA,NA
62,2741.2,2781.033,382.2,387.6,371.367,371.467,NA,NA,397.033,397.133,492.767,493.967,NA,NA
63,2782.733,2784.2,387.7,387.767,373,373.233,NA,NA,397.467,398.067,497.733,498.1,NA,NA
64,2839.967,2842.767,388.6,390.367,403.767,409.833,NA,NA,401.167,401.3,518,518.933,NA,NA
65,2848.867,2861.267,393.8,393.967,433.233,436.333,NA,NA,580.067,580.167,532.2,533.367,NA,NA
66,2872.233,2883.467,394.4,394.733,436.433,478.767,NA,NA,583,585.5,533.7,533.867,NA,NA
67,2890.1,2922.2,395.333,395.867,478.967,479.033,NA,NA,586.033,586.467,534.2,534.267,NA,NA
68,2934.233,2956.7,396.033,397.033,491.833,492.567,NA,NA,588,588.2,746.767,747.067,NA,NA
69,3218.267,3219.933,397.133,397.467,492.7,492.767,NA,NA,588.767,589.033,747.133,747.867,NA,NA
70,3220.633,3220.967,398.067,401.167,493.967,497.733,NA,NA,590.667,596.2,748.5,754.233,NA,NA
71,3248.8,3367.667,576.333,580.067,498.1,518,NA,NA,596.233,602.067,757.767,760.1,NA,NA
72,3399.933,3401.8,580.167,583,518.933,532.2,NA,NA,603.4,613.133,774.767,777.467,NA,NA
73,3419.3,3425.2,585.5,586.033,533.367,533.7,NA,NA,614.233,614.333,1236.733,1237.333,NA,NA
74,3443.767,3450.633,586.467,588,533.867,534.2,NA,NA,614.867,616.567,1237.433,1240.467,NA,NA
75,3453.7,3455.867,588.2,588.767,534.267,575.233,NA,NA,619.1,619.167,1240.533,1245.433,NA,NA
76,3468.6,3469.033,589.033,590.667,742,746.767,NA,NA,626,626.433,1245.467,1249.133,NA,NA
77,3472.367,3472.667,596.2,596.233,747.067,747.133,NA,NA,642.033,642.167,1249.433,1250.467,NA,NA
78,3475.733,3481.667,602.067,603.4,747.867,748.5,NA,NA,643.067,643.733,1250.567,1251.667,NA,NA
79,3489.367,3491.333,613.133,614.233,754.233,757.767,NA,NA,643.867,644.433,1333.367,1336.467,NA,NA
80,3492.067,3492.6,614.333,614.867,760.1,774.767,NA,NA,644.533,645.233,1336.567,1337.5,NA,NA
81,3494.767,3495,616.567,619.1,777.467,779.067,NA,NA,645.267,645.967,1337.767,1350.8,NA,NA
82,3505.8,3507.867,619.167,626,779.2,779.333,NA,NA,646,646.267,1355.3,1355.5,NA,NA
83,3520.7,3523.167,626.433,642.033,1234.033,1236.733,NA,NA,646.533,647.867,1355.567,1356.267,NA,NA
84,3523.6,3525.533,642.167,643.067,1237.333,1237.433,NA,NA,658.767,669.133,1364.967,1365.1,NA,NA
85,3529.267,3534.767,643.733,643.867,1240.467,1240.533,NA,NA,669.267,671.2,1476.867,1479.4,NA,NA
86,3670.833,3708.533,644.433,644.533,1245.433,1245.467,NA,NA,674.8,675.467,1483.033,1484.167,NA,NA
87,3710.733,3715.499,645.233,645.267,1249.133,1249.433,NA,NA,675.667,676.033,1484.567,1484.667,NA,NA
88,3724.366,3725.999,645.967,646,1250.467,1250.567,NA,NA,677.033,677.267,1506.633,1507.267,NA,NA
89,3743.166,3767.633,646.267,646.533,1251.667,1251.833,NA,NA,677.933,678.133,1709.667,1709.8,NA,NA
90,3780.033,3783.566,647.867,658.767,1319.133,1333.367,NA,NA,678.6,678.967,1735.867,1737.6,NA,NA
91,3794.299,3797.033,669.133,669.267,1336.467,1336.567,NA,NA,679.867,679.9,1738.3,1738.867,NA,NA
92,3801.099,3801.399,671.2,674.8,1337.5,1337.767,NA,NA,680.133,680.233,1935.833,1936.4,NA,NA
93,3802.866,3808.266,675.467,675.667,1350.8,1355.3,NA,NA,680.767,682.8,1936.833,1939.1,NA,NA
94,3829.933,3831.999,676.033,676.2,1355.5,1355.567,NA,NA,682.867,692.3,2034.367,2041.9,NA,NA
95,3835.566,3866.033,676.333,677.033,1356.267,1364.967,NA,NA,692.467,695.267,2177.333,2177.367,NA,NA
96,3923.899,3926.299,677.9,677.933,1365.1,1369.367,NA,NA,703.2,716.9,2180.4,2182.633,NA,NA
97,4090.866,4090.899,678.133,678.6,1374.667,1379.833,NA,NA,717.567,717.7,2186.6,2192.7,NA,NA
98,4090.933,4096.266,678.967,679.867,1476.467,1476.867,NA,NA,794.733,795.833,2192.9,2193.333,NA,NA
99,4104.599,4105.633,679.9,680.133,1479.4,1483.033,NA,NA,824.233,824.4,2567,2575.967,NA,NA
100,4105.733,4105.799,680.233,680.767,1484.167,1484.567,NA,NA,824.533,824.633,2576,2577.467,NA,NA
101,4105.899,4106.599,682.8,682.867,1484.667,1485.033,NA,NA,824.867,824.967,2577.967,2578.633,NA,NA
102,4251.966,4266.066,692.3,692.467,1485.233,1485.4,NA,NA,825.4,826.7,2582.7,2585.267,NA,NA
103,4294.999,4295.799,695.267,703.2,1485.533,1485.733,NA,NA,831.867,833.633,2585.3,2587.667,NA,NA
104,4347.833,4360.266,716.9,717.167,1485.933,1487,NA,NA,833.767,839.8,2594.767,2596.333,NA,NA
105,4398.499,4441.699,789.233,794.733,1487.2,1487.433,NA,NA,873,873.133,2688.533,2688.7,NA,NA
106,4501.933,4502.533,795.833,824.233,1488.8,1497.8,NA,NA,873.3,875.267,2688.967,2689.4,NA,NA
107,4830.466,4833.499,824.4,824.533,1501.633,1506.633,NA,NA,875.667,875.833,2735.067,2735.567,NA,NA
108,4913.666,4923.366,824.633,824.867,1507.267,1507.8,NA,NA,875.967,878.233,2736.6,2740.067,NA,NA
109,5672.366,5675.266,824.967,825.4,1706.733,1709.667,NA,NA,878.367,879.567,2740.567,2740.633,NA,NA
110,5688.766,5695.933,826.7,831.867,1709.8,1735.867,NA,NA,879.6,881.267,2781.367,2781.567,NA,NA
111,5705.766,5706.933,833.633,833.767,1737.6,1738.3,NA,NA,884.767,886.833,2863.333,2863.433,NA,NA
112,5850.166,5854.233,839.8,873,1738.867,1740.2,NA,NA,915.2,915.267,2869.733,2869.8,NA,NA
113,5902.933,5905.733,873.133,873.3,1935,1935.833,NA,NA,915.367,915.433,2869.833,2870.233,NA,NA
114,5907.766,5908.966,875.267,875.667,1936.4,1936.833,NA,NA,935.967,936.167,2870.267,2870.633,NA,NA
115,5930.199,5939.666,875.833,875.967,1939.1,1939.533,NA,NA,936.3,937.933,2870.8,2871.267,NA,NA
116,5939.699,5939.833,878.233,878.367,2026.933,2034.367,NA,NA,938.6,939.3,3223.133,3224.267,NA,NA
117,5941.099,5942.999,879.567,879.6,2041.9,2043.6,NA,NA,940,940.267,3402.033,3403.433,NA,NA
118,5946.333,5950.466,881.267,884.767,2175.2,2177.333,NA,NA,940.667,942.4,3403.467,3403.933,NA,NA
119,6003.299,6003.966,886.833,915.2,2177.367,2180.4,NA,NA,943.033,972.2,3404.7,3406.333,NA,NA
120,8641.166,8642.199,915.267,915.367,2182.633,2186.6,NA,NA,972.333,973.933,3407.7,3415.367,NA,NA
121,8879.732,8900.632,915.433,935.967,2192.7,2192.9,NA,NA,975.6,975.633,3415.4,3415.567,NA,NA
122,8968.732,8970.499,936.167,936.3,2193.333,2194.2,NA,NA,975.833,976.667,3415.633,3415.667,NA,NA
123,9013.532,9026.132,937.933,938.6,2283.867,2313.6,NA,NA,976.7,979.633,3416.733,3417.567,NA,NA
124,9041.266,9044.699,939.3,940,2535.667,2567,NA,NA,993.167,993.267,3428.667,3428.733,NA,NA
125,9059.599,9059.866,940.267,940.667,2575.967,2576,NA,NA,994.867,994.9,3430.533,3430.8,NA,NA
126,9127.699,9135.499,942.4,943.033,2577.467,2577.967,NA,NA,995.467,995.867,3431.333,3434.2,NA,NA
127,9165.566,9166.499,972.2,972.333,2578.633,2582.7,NA,NA,1007.333,1009.133,3438.233,3438.267,NA,NA
128,9167.632,9168.232,973.933,975.6,2585.267,2585.3,NA,NA,1011.767,1026.967,3438.7,3443.533,NA,NA
129,9178.566,9179.299,975.633,975.833,2587.667,2594.767,NA,NA,1027.1,1053.3,3464.833,3466.433,NA,NA
130,9180.632,9181.732,976.667,976.7,2596.333,2688.533,NA,NA,1055.233,1055.3,3499.167,3501.667,NA,NA
131,9181.999,9199.699,979.633,993.167,2688.7,2688.967,NA,NA,1127.933,1128.133,3508.033,3508.6,NA,NA
132,9200.032,9200.299,993.267,994.867,2689.4,2728.8,NA,NA,1133.4,1133.8,3509.067,3512.233,NA,NA
133,9498.099,9499.199,994.9,995.467,2734.2,2735.067,NA,NA,1133.867,1133.933,3515.8,3516.2,NA,NA
134,9553.832,9554.466,995.867,1007.333,2735.567,2736.6,NA,NA,1134.133,1135.533,3516.633,3516.733,NA,NA
135,9573.999,9574.332,1009.133,1011.767,2740.067,2740.567,NA,NA,1135.667,1135.733,3739.533,3739.799,NA,NA
136,9585.866,9586.799,1026.967,1027.1,2740.633,2741.2,NA,NA,1135.933,1136.133,3739.899,3741.233,NA,NA
137,9587.399,9587.799,1053.3,1055.233,2781.033,2781.367,NA,NA,1142.067,1142.733,3929.333,3933.899,NA,NA
138,9614.099,9615.099,1055.3,1127.933,2781.567,2782.733,NA,NA,1142.867,1190.667,3955.766,3955.899,NA,NA
139,9616.299,9616.866,1128.133,1133.4,2861.267,2863.333,NA,NA,1190.867,1191.567,3995.799,3998.466,NA,NA
140,9626.066,9626.466,1133.8,1133.867,2863.433,2869.733,NA,NA,1192.3,1194.7,4004.299,4007.199,NA,NA
141,9634.599,9634.966,1133.933,1134.133,2869.8,2869.833,NA,NA,1194.933,1195.7,4008.066,4008.233,NA,NA
142,9713.099,9715.099,1135.533,1135.667,2870.233,2870.267,NA,NA,1198.033,1198.267,4008.733,4012.099,NA,NA
143,9752.099,9752.699,1135.733,1135.933,2870.633,2870.8,NA,NA,1198.933,1200.667,4012.599,4012.633,NA,NA
144,9755.232,9758.599,1136.133,1142.067,2871.267,2872.233,NA,NA,1201.733,1204.3,4014.333,4014.566,NA,NA
145,9760.399,9761.299,1142.733,1142.867,3219.933,3220.633,NA,NA,1204.433,1206.4,4032.399,4032.499,NA,NA
146,9770.799,9780.499,1190.667,1190.867,3220.967,3223.133,NA,NA,1206.533,1207.367,4076.233,4079.499,NA,NA
147,9781.766,9784.266,1191.567,1192.3,3224.267,3248.8,NA,NA,1207.5,1207.8,4089.199,4089.466,NA,NA
148,9785.899,9788.799,1194.7,1194.933,3401.8,3402.033,NA,NA,1209.8,1209.833,4089.633,4090.766,NA,NA
