"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
1,0,18.933,18.933,20.8,20.8,21.066,73.466,101.633,128.666,128.7,937.733,937.766
2,71.033,73.466,21.066,21.3,21.3,21.466,126.433,128.666,129.433,129.466,NA,NA
3,101.633,105.266,21.466,21.7,21.7,23,128.7,129.433,286.5,287.133,NA,NA
4,105.3,105.433,23,23.033,23.033,64.466,129.466,130.2,287.266,287.7,NA,NA
5,125.066,126.433,64.466,64.533,64.533,64.6,146.4,150.333,293.833,293.933,NA,NA
6,130.2,130.7,64.6,64.666,64.666,64.8,163.433,167.933,295.833,295.866,NA,NA
7,137.6,141.8,64.8,64.933,64.933,68.8,283.533,286.5,310.866,310.9,NA,NA
8,141.9,142.2,68.8,71.033,114.166,114.3,287.133,287.266,334.766,334.833,NA,NA
9,142.5,142.6,105.266,105.3,114.433,114.533,287.7,287.966,359.433,359.466,NA,NA
10,142.666,146.4,105.433,114.166,115.733,115.8,292.766,293.833,359.933,360,NA,NA
11,150.333,151.233,114.3,114.433,115.833,116,293.933,295.833,360.133,360.166,NA,NA
12,151.566,151.6,114.533,115.733,123.266,124.4,295.866,296.133,593.533,593.833,NA,NA
13,151.666,152.933,115.8,115.833,133.033,133.233,308.7,310.866,599.866,600,NA,NA
14,152.966,163.433,116,123.266,133.366,133.4,310.9,311.033,600.066,600.766,NA,NA
15,167.933,169.233,124.4,125.066,133.633,136.866,358.333,359.433,601.5,602,NA,NA
16,251.633,259.133,130.7,133.033,142.2,142.5,359.466,359.933,602.633,602.866,NA,NA
17,263.266,267.366,133.233,133.366,142.6,142.666,360,360.133,603.1,603.133,NA,NA
18,267.5,267.933,133.4,133.633,151.6,151.666,457.566,457.6,694.5,694.733,NA,NA
19,275.533,281.933,136.866,137.6,152.933,152.966,483.4,483.833,731.3,732,NA,NA
20,282.2,283.533,141.8,141.9,202.1,202.133,603.066,603.1,781.366,781.733,NA,NA
21,287.966,292.766,151.233,151.566,202.4,202.433,603.133,603.233,781.933,784.933,NA,NA
22,296.133,296.733,169.233,202.1,228.8,228.9,610.433,617.3,786.7,787.9,NA,NA
23,298,308.7,202.133,202.4,229,231.866,731.1,731.3,804.933,804.966,NA,NA
24,311.033,311.466,202.433,228.8,232.033,250.466,732,732.666,888.333,888.4,NA,NA
25,329.9,334.766,228.9,229,250.766,250.966,772.833,781.366,911.8,911.9,NA,NA
26,334.833,335.366,231.866,232.033,251.2,251.333,781.733,781.933,912.066,912.133,NA,NA
27,346.366,353.8,250.466,250.766,261.666,262.333,784.933,786.7,922.3,923.133,NA,NA
28,353.866,354.7,250.966,251.2,262.7,263.066,805,805.066,932.733,932.8,NA,NA
29,354.766,354.933,251.333,251.633,271.4,275.066,887.833,888.333,936.066,936.466,NA,NA
30,357.333,358.333,259.133,261.666,321.7,321.733,888.4,888.5,936.766,937.3,NA,NA
31,360.166,360.433,262.333,262.7,321.833,322,915.3,922.3,937.333,937.7,NA,NA
32,452.933,457.566,263.066,263.266,322.366,323.733,923.133,923.6,1114.3,1114.333,NA,NA
33,457.6,458.033,267.366,267.5,323.9,324.133,930.033,932.733,1132.033,1132.566,NA,NA
34,460.033,483.4,267.933,271.4,336.7,336.733,932.8,936.066,1216.2,1218.633,NA,NA
35,483.833,498.733,275.066,275.533,336.766,337.366,936.466,936.766,1224.6,1224.766,NA,NA
36,591.666,593.533,281.933,282.2,338.766,339.166,937.3,937.333,1225.133,1226.066,NA,NA
37,593.833,599.866,296.733,298,342.533,343.466,937.7,937.733,1229.6,1229.7,NA,NA
38,600,600.066,311.466,321.7,344.466,345.033,1121.866,1132.033,1404.166,1404.233,NA,NA
39,600.766,601.5,321.733,321.833,360.6,360.666,1132.566,1132.9,1407.566,1407.633,NA,NA
40,602,602.633,322,322.366,397.2,397.266,1135,1135.1,1411.2,1411.4,NA,NA
41,602.866,603.066,323.733,323.9,400.366,400.4,1135.533,1135.666,1421.566,1421.766,NA,NA
42,603.233,603.933,324.133,329.9,400.433,403.233,1135.8,1183.533,1598.733,1598.933,NA,NA
43,606.966,610.433,335.366,336.7,403.933,406.6,1208.733,1213.433,1599.133,1599.966,NA,NA
44,617.3,619.333,336.733,336.766,406.633,406.8,1213.5,1216.2,1607.4,1607.433,NA,NA
45,687.6,694.5,337.366,338.766,406.933,407.633,1218.633,1224.6,1614.933,1615,NA,NA
46,694.733,697.1,339.166,342.533,407.666,407.8,1224.766,1225.133,1663.366,1663.466,NA,NA
47,720.466,724.7,343.466,344.466,408,408.3,1226.066,1229.6,1663.8,1663.833,NA,NA
48,725.466,731.1,345.033,346.366,412.166,412.466,1229.7,1230.266,1664,1664.033,NA,NA
49,732.666,733.233,353.8,353.866,412.766,412.8,1362.4,1362.466,1717.566,1718.333,NA,NA
50,737,772.833,354.7,354.766,414.333,420.566,1374.533,1404.166,1719.1,1719.166,NA,NA
51,787.9,788.133,354.933,357.333,420.633,420.733,1404.233,1407.566,1958.366,1958.466,NA,NA
52,794.666,798.833,360.433,360.6,420.8,420.933,1407.633,1411.2,1995.533,1996.066,NA,NA
53,798.866,798.9,360.666,397.2,421,421.266,1411.4,1415,1996.133,1996.166,NA,NA
54,798.966,804.933,397.266,400.366,423.666,452.566,1418.1,1421.566,2201.066,2201.266,NA,NA
55,804.966,805,400.4,400.433,458.7,458.766,1601.6,1601.933,2205.066,2205.166,NA,NA
56,805.066,805.5,403.233,403.933,510.566,510.8,1603.133,1607.4,2458.033,2458.133,NA,NA
57,854.166,857,406.6,406.633,510.833,512.8,1607.433,1614.933,2510.433,2510.533,NA,NA
58,886.4,887.833,406.8,406.933,512.866,513.866,1615,1615.166,2510.8,2510.833,NA,NA
59,888.5,888.866,407.633,407.666,514.066,514.333,1717.533,1717.566,2558.5,2558.866,NA,NA
60,910.3,911.8,407.8,408,514.466,515.433,1718.333,1719.1,2584.666,2588.7,NA,NA
61,911.9,912.066,408.3,412.166,515.533,515.866,1719.166,1719.233,2589.333,2590.1,NA,NA
