"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
1,0,117.167,117.167,140.634,140.634,141.034,415.167,415.534,431.334,443.867,5175.867,5175.934,11603.899,11603.966
2,405.367,415.167,141.034,141.367,141.367,169.367,420.034,421.034,457.134,471.3,NA,NA,12865.632,12865.766
3,415.534,420.034,169.367,169.534,169.534,169.734,426.367,428.3,471.534,475.034,NA,NA,NA,NA
4,421.034,422.267,169.734,169.834,169.834,170.034,429.267,431.334,475.767,483.7,NA,NA,NA,NA
5,424.067,426.367,170.034,170.3,170.3,173.3,443.867,457.134,483.834,496.8,NA,NA,NA,NA
6,428.3,429.267,173.3,177.167,177.167,179.334,471.3,471.534,499.534,500.167,NA,NA,NA,NA
7,546.234,550.634,179.334,179.367,179.367,188.067,475.034,475.767,500.3,500.7,NA,NA,NA,NA
8,572.567,595.034,188.067,188.934,188.934,189.267,483.7,483.834,500.867,511.9,NA,NA,NA,NA
9,854.567,860.5,189.267,194.8,194.8,195.8,496.8,499.534,512.034,512.234,NA,NA,NA,NA
10,1009.634,1011.1,195.8,196.667,196.667,196.767,500.167,500.3,513.467,513.5,NA,NA,NA,NA
11,1011.9,1012.567,196.767,197.567,197.567,198.1,500.7,500.867,513.534,513.7,NA,NA,NA,NA
12,1013.167,1014.767,198.1,198.167,198.167,198.3,511.9,512.034,514.634,516.467,NA,NA,NA,NA
13,1014.8,1015.7,198.3,198.634,198.634,205.7,512.234,513.467,520.3,521,NA,NA,NA,NA
14,1019.1,1022.1,205.7,205.767,205.767,211.834,513.5,513.534,521.234,521.934,NA,NA,NA,NA
15,1090.667,1104.7,211.834,212.4,212.4,212.8,513.7,514.634,522.134,522.4,NA,NA,NA,NA
16,1332.267,1345.467,212.8,213.034,213.034,227.167,516.467,520.3,525.034,525.067,NA,NA,NA,NA
17,1420.167,1421.267,227.167,227.7,227.7,228.167,521,521.234,525.567,525.7,NA,NA,NA,NA
18,1427.7,1452.367,228.167,228.267,228.267,229.834,521.934,522.134,526.067,526.234,NA,NA,NA,NA
19,1577.967,1579.767,229.834,229.9,229.9,244.767,522.4,525.034,526.634,527.7,NA,NA,NA,NA
20,1728.2,1737.334,244.767,244.834,244.834,244.967,525.067,525.567,527.967,528,NA,NA,NA,NA
21,1737.467,1737.634,244.967,280.767,280.767,370.267,525.7,526.067,528.2,528.634,NA,NA,NA,NA
22,1772,1775.067,370.267,371.034,371.034,383.134,526.234,526.634,530.1,530.8,NA,NA,NA,NA
23,1781.634,1784.1,383.134,405.367,552.634,567.2,527.7,527.967,531.767,532.534,NA,NA,NA,NA
24,1845.2,1902.367,422.267,424.067,567.4,570.267,528,528.2,532.6,533.634,NA,NA,NA,NA
25,2364.934,2371.434,550.634,552.634,877.634,877.7,528.634,530.1,533.934,534.334,NA,NA,NA,NA
26,3077.467,3087.634,567.2,567.4,878.367,880.967,530.8,531.767,535.967,536.167,NA,NA,NA,NA
27,3450.867,3451.567,570.267,572.567,881.434,881.967,532.534,532.6,536.3,538.034,NA,NA,NA,NA
28,3542.334,3552.167,860.5,877.634,882.167,882.234,533.634,533.934,538.1,538.167,NA,NA,NA,NA
29,3694.7,3702.134,877.7,878.367,882.5,882.567,534.334,535.967,539.1,539.5,NA,NA,NA,NA
30,3830.434,3830.9,880.967,881.434,882.634,882.767,536.167,536.3,542.7,543.3,NA,NA,NA,NA
31,3921.5,3949.034,881.967,882.167,883.234,887,538.034,538.1,543.367,543.634,NA,NA,NA,NA
32,4070.734,4071.467,882.234,882.5,887.134,889.334,538.167,539.1,545.934,545.967,NA,NA,NA,NA
33,4158.534,4178.634,882.567,882.634,889.467,890,539.5,542.7,546.034,546.134,NA,NA,NA,NA
34,4249.467,4285.667,882.767,883.234,897.367,1006.734,543.3,543.367,597.2,597.267,NA,NA,NA,NA
35,4317.734,4318.3,887,887.134,1115.367,1116.834,543.634,545.934,608.3,608.467,NA,NA,NA,NA
36,4342.7,4346.1,889.334,889.467,1117.4,1118.3,545.967,546.034,610.267,610.4,NA,NA,NA,NA
37,4615.167,4615.234,890,897.367,1118.4,1223.3,546.134,546.234,613.034,613.267,NA,NA,NA,NA
38,4615.3,4638.2,1006.734,1009.634,1224.934,1225.934,595.034,597.2,613.3,613.434,NA,NA,NA,NA
39,4801.7,4803.5,1011.1,1011.9,1227,1228.334,597.267,608.3,614.867,614.9,NA,NA,NA,NA
40,4979.6,4984.667,1012.567,1013.167,1260.734,1260.867,608.467,610.267,615.434,615.867,NA,NA,NA,NA
41,5077.467,5085.5,1014.767,1014.8,1260.934,1306,610.4,613.034,616.7,617.1,NA,NA,NA,NA
42,5174.5,5175.867,1015.7,1019.1,1306.134,1307.934,613.267,613.3,617.134,617.367,NA,NA,NA,NA
43,5176.067,5176.434,1104.7,1115.367,1310.467,1310.734,613.434,614.867,632.034,632.167,NA,NA,NA,NA
44,5280.367,5284.2,1116.834,1117.4,1310.8,1310.867,614.9,615.434,635.867,636,NA,NA,NA,NA
45,5350.434,5360.834,1118.3,1118.4,1454.734,1454.8,615.867,616.7,639,639.267,NA,NA,NA,NA
46,5382,5413.2,1223.3,1224.934,1454.934,1534.667,617.1,617.134,642.667,642.934,NA,NA,NA,NA
47,5465.2,5480.2,1225.934,1227,1542.767,1564.3,617.367,632.034,647.134,647.234,NA,NA,NA,NA
48,5698.634,5700.034,1228.334,1260.734,1565.3,1567.834,632.167,635.867,647.5,647.667,NA,NA,NA,NA
49,5766.734,5784.434,1260.867,1260.934,1737.334,1737.467,636,639,648.367,648.567,NA,NA,NA,NA
50,11092.766,11103.866,1306,1306.134,1737.767,1738.734,639.267,642.667,679.867,679.967,NA,NA,NA,NA
